date,metric,value
2020-03-04,total_cases,9
2020-03-04,total_deaths,0
2020-03-04,new_cases,0
2020-03-04,new_deaths,0
2020-03-05,total_cases,17
2020-03-05,total_deaths,0
2020-03-05,new_cases,8
2020-03-05,new_deaths,0
2020-03-06,total_cases,33
2020-03-06,total_deaths,0
2020-03-06,new_cases,16
2020-03-06,new_deaths,0
2020-03-07,total_cases,69
2020-03-07,total_deaths,0
2020-03-07,new_cases,36
2020-03-07,new_deaths,0
2020-03-08,total_cases,81
2020-03-08,total_deaths,0
2020-03-08,new_cases,12
2020-03-08,new_deaths,0
2020-03-09,total_cases,97
2020-03-09,total_deaths,0
2020-03-09,new_cases,16
2020-03-09,new_deaths,0
2020-03-10,total_cases,107
2020-03-10,total_deaths,0
2020-03-10,new_cases,10
2020-03-10,new_deaths,0
2020-03-11,total_cases,120
2020-03-11,total_deaths,0
2020-03-11,new_cases,13
2020-03-11,new_deaths,0
2020-03-12,total_cases,147
2020-03-12,total_deaths,0
2020-03-12,new_cases,27
2020-03-12,new_deaths,0
2020-03-13,total_cases,157
2020-03-13,total_deaths,0
2020-03-13,new_cases,10
2020-03-13,new_deaths,0
2020-03-14,total_cases,178
2020-03-14,total_deaths,0
2020-03-14,new_cases,21
2020-03-14,new_deaths,0
2020-03-15,total_cases,195
2020-03-15,total_deaths,0
2020-03-15,new_cases,17
2020-03-15,new_deaths,0
2020-03-16,total_cases,219
2020-03-16,total_deaths,0
2020-03-16,new_cases,24
2020-03-16,new_deaths,0
2020-03-17,total_cases,379
2020-03-17,total_deaths,0
2020-03-17,new_cases,160
2020-03-17,new_deaths,0
2020-03-18,total_cases,537
2020-03-18,total_deaths,0
2020-03-18,new_cases,158
2020-03-18,new_deaths,0
2020-03-19,total_cases,797
2020-03-19,total_deaths,0
2020-03-19,new_cases,260
2020-03-19,new_deaths,0
2020-03-20,total_cases,1091
2020-03-20,total_deaths,0
2020-03-20,new_cases,294
2020-03-20,new_deaths,0
2020-03-21,total_cases,1387
2020-03-21,total_deaths,0
2020-03-21,new_cases,296
2020-03-21,new_deaths,0
2020-03-22,total_cases,1873
2020-03-22,total_deaths,0
2020-03-22,new_cases,486
2020-03-22,new_deaths,0
2020-03-23,total_cases,2894
2020-03-23,total_deaths,0
2020-03-23,new_cases,1021
2020-03-23,new_deaths,0
2020-03-24,total_cases,3891
2020-03-24,total_deaths,6
2020-03-24,new_cases,997
2020-03-24,new_deaths,6
2020-03-25,total_cases,4691
2020-03-25,total_deaths,6
2020-03-25,new_cases,800
2020-03-25,new_deaths,0
2020-03-26,total_cases,5944
2020-03-26,total_deaths,8
2020-03-26,new_cases,1253
2020-03-26,new_deaths,2
2020-03-27,total_cases,7187
2020-03-27,total_deaths,10
2020-03-27,new_cases,1243
2020-03-27,new_deaths,2
2020-03-28,total_cases,7875
2020-03-28,total_deaths,10
2020-03-28,new_cases,688
2020-03-28,new_deaths,0
2020-03-29,total_cases,8519
2020-03-29,total_deaths,10
2020-03-29,new_cases,644
2020-03-29,new_deaths,0
2020-03-30,total_cases,9326
2020-03-30,total_deaths,19
2020-03-30,new_cases,807
2020-03-30,new_deaths,9
2020-03-31,total_cases,9967
2020-03-31,total_deaths,25
2020-03-31,new_cases,641
2020-03-31,new_deaths,6
2020-04-01,total_cases,10683
2020-04-01,total_deaths,25
2020-04-01,new_cases,716
2020-04-01,new_deaths,0
2020-04-02,total_cases,11566
2020-04-02,total_deaths,67
2020-04-02,new_cases,883
2020-04-02,new_deaths,42
2020-04-03,total_cases,12350
2020-04-03,total_deaths,67
2020-04-03,new_cases,784
2020-04-03,new_deaths,0
2020-04-04,total_cases,13080
2020-04-04,total_deaths,197
2020-04-04,new_cases,730
2020-04-04,new_deaths,130
2020-04-05,total_cases,13722
2020-04-05,total_deaths,197
2020-04-05,new_cases,642
2020-04-05,new_deaths,0
2020-04-06,total_cases,14293
2020-04-06,total_deaths,253
2020-04-06,new_cases,571
2020-04-06,new_deaths,56
2020-04-07,total_cases,14804
2020-04-07,total_deaths,304
2020-04-07,new_cases,511
2020-04-07,new_deaths,51
2020-04-08,total_cases,15887
2020-04-08,total_deaths,343
2020-04-08,new_cases,1083
2020-04-08,new_deaths,39
2020-04-09,total_cases,17004
2020-04-09,total_deaths,389
2020-04-09,new_cases,1117
2020-04-09,new_deaths,46
2020-04-10,total_cases,18077
2020-04-10,total_deaths,428
2020-04-10,new_cases,1073
2020-04-10,new_deaths,39
2020-04-11,total_cases,18729
2020-04-11,total_deaths,505
2020-04-11,new_cases,652
2020-04-11,new_deaths,77
2020-04-12,total_cases,19313
2020-04-12,total_deaths,562
2020-04-12,new_cases,584
2020-04-12,new_deaths,57
2020-04-13,total_cases,19785
2020-04-13,total_deaths,610
2020-04-13,new_cases,472
2020-04-13,new_deaths,48
2020-04-14,total_cases,20191
2020-04-14,total_deaths,654
2020-04-14,new_cases,406
2020-04-14,new_deaths,44
2020-04-15,total_cases,20947
2020-04-15,total_deaths,708
2020-04-15,new_cases,756
2020-04-15,new_deaths,54
2020-04-16,total_cases,21828
2020-04-16,total_deaths,738
2020-04-16,new_cases,881
2020-04-16,new_deaths,30
2020-04-17,total_cases,22476
2020-04-17,total_deaths,738
2020-04-17,new_cases,648
2020-04-17,new_deaths,0
2020-04-18,total_cases,23179
2020-04-18,total_deaths,738
2020-04-18,new_cases,703
2020-04-18,new_deaths,0
2020-04-19,total_cases,23803
2020-04-19,total_deaths,831
2020-04-19,new_cases,624
2020-04-19,new_deaths,93
2020-04-20,total_cases,24306
2020-04-20,total_deaths,867
2020-04-20,new_cases,503
2020-04-20,new_deaths,36
2020-04-21,total_cases,24655
2020-04-21,total_deaths,904
2020-04-21,new_cases,349
2020-04-21,new_deaths,37
2020-04-22,total_cases,25275
2020-04-22,total_deaths,932
2020-04-22,new_cases,620
2020-04-22,new_deaths,28
2020-04-23,total_cases,25959
2020-04-23,total_deaths,962
2020-04-23,new_cases,684
2020-04-23,new_deaths,30
2020-04-24,total_cases,26632
2020-04-24,total_deaths,989
2020-04-24,new_cases,673
2020-04-24,new_deaths,27
2020-04-25,total_cases,27230
2020-04-25,total_deaths,1022
2020-04-25,new_cases,598
2020-04-25,new_deaths,33
2020-04-26,total_cases,27664
2020-04-26,total_deaths,1054
2020-04-26,new_cases,434
2020-04-26,new_deaths,32
2020-04-27,total_cases,28007
2020-04-27,total_deaths,1077
2020-04-27,new_cases,343
2020-04-27,new_deaths,23
2020-04-28,total_cases,28245
2020-04-28,total_deaths,1096
2020-04-28,new_cases,238
2020-04-28,new_deaths,19
2020-04-29,total_cases,28625
2020-04-29,total_deaths,1119
2020-04-29,new_cases,380
2020-04-29,new_deaths,23
2020-04-30,total_cases,28969
2020-04-30,total_deaths,1144
2020-04-30,new_cases,344
2020-04-30,new_deaths,25
2020-05-01,total_cases,29231
2020-05-01,total_deaths,1165
2020-05-01,new_cases,262
2020-05-01,new_deaths,21
2020-05-02,total_cases,29626
2020-05-02,total_deaths,1183
2020-05-02,new_cases,395
2020-05-02,new_deaths,18
2020-05-03,total_cases,29884
2020-05-03,total_deaths,1203
2020-05-03,new_cases,258
2020-05-03,new_deaths,20
2020-05-04,total_cases,30097
2020-05-04,total_deaths,1220
2020-05-04,new_cases,213
2020-05-04,new_deaths,17
2020-05-05,total_cases,30239
2020-05-05,total_deaths,1236
2020-05-05,new_cases,142
2020-05-05,new_deaths,16
2020-05-06,total_cases,30426
2020-05-06,total_deaths,1285
2020-05-06,new_cases,187
2020-05-06,new_deaths,49
2020-05-07,total_cases,30709
2020-05-07,total_deaths,1305
2020-05-07,new_cases,283
2020-05-07,new_deaths,20
2020-05-08,total_cases,30904
2020-05-08,total_deaths,1316
2020-05-08,new_cases,195
2020-05-08,new_deaths,11
2020-05-09,total_cases,31086
2020-05-09,total_deaths,1328
2020-05-09,new_cases,182
2020-05-09,new_deaths,12
2020-05-10,total_cases,31293
2020-05-10,total_deaths,1341
2020-05-10,new_cases,207
2020-05-10,new_deaths,13
2020-05-11,total_cases,31383
2020-05-11,total_deaths,1349
2020-05-11,new_cases,90
2020-05-11,new_deaths,8
2020-05-12,total_cases,31471
2020-05-12,total_deaths,1360
2020-05-12,new_cases,88
2020-05-12,new_deaths,11
2020-05-13,total_cases,31610
2020-05-13,total_deaths,1368
2020-05-13,new_cases,139
2020-05-13,new_deaths,8
2020-05-14,total_cases,31791
2020-05-14,total_deaths,1380
2020-05-14,new_cases,181
2020-05-14,new_deaths,12
2020-05-15,total_cases,31942
2020-05-15,total_deaths,1392
2020-05-15,new_cases,151
2020-05-15,new_deaths,12
2020-05-16,total_cases,32096
2020-05-16,total_deaths,1398
2020-05-16,new_cases,154
2020-05-16,new_deaths,6
2020-05-17,total_cases,32223
2020-05-17,total_deaths,1412
2020-05-17,new_cases,127
2020-05-17,new_deaths,14
