date,municipality,total_cases,active_cases,new_cases
2020-04-27,Ardsley,65,NA,NA
2020-04-27,Bedford,180,NA,NA
2020-04-27,Briarcliff Manor,72,NA,NA
2020-04-27,Bronxville,47,NA,NA
2020-04-27,Buchanan,27,NA,NA
2020-04-27,Cortlandt,521,NA,NA
2020-04-27,Croton-on-Hudson,120,NA,NA
2020-04-27,Dobbs Ferry,183,NA,NA
2020-04-27,Eastchester,318,NA,NA
2020-04-27,Elmsford,145,NA,NA
2020-04-27,Greenburgh,815,NA,NA
2020-04-27,Harrison,266,NA,NA
2020-04-27,Hastings-on-Hudson,82,NA,NA
2020-04-27,Irvington,61,NA,NA
2020-04-27,Larchmont,50,NA,NA
2020-04-27,Lewisboro,67,NA,NA
2020-04-27,Mamaroneck Town,112,NA,NA
2020-04-27,Mamaroneck Village,260,NA,NA
2020-04-27,Mount Kisco,196,NA,NA
2020-04-27,Mount Pleasant,432,NA,NA
2020-04-27,Mount Vernon,2038,NA,NA
2020-04-27,New Castle,127,NA,NA
2020-04-27,New Rochelle,2126,NA,NA
2020-04-27,North Castle,131,NA,NA
2020-04-27,North Salem,82,NA,NA
2020-04-27,Ossining Town,115,NA,NA
2020-04-27,Ossining Village,780,NA,NA
2020-04-27,Peekskill,559,NA,NA
2020-04-27,Pelham,120,NA,NA
2020-04-27,Pelham Manor,82,NA,NA
2020-04-27,Pleasantville,87,NA,NA
2020-04-27,Port Chester,836,NA,NA
2020-04-27,Pound Ridge,18,NA,NA
2020-04-27,Rye Brook,146,NA,NA
2020-04-27,Rye City,142,NA,NA
2020-04-27,Scarsdale,313,NA,NA
2020-04-27,Sleepy Hollow,284,NA,NA
2020-04-27,Somers,155,NA,NA
2020-04-27,Tarrytown,206,NA,NA
2020-04-27,Tuckahoe,103,NA,NA
2020-04-27,White Plains,1247,NA,NA
2020-04-27,Yonkers,4922,NA,NA
2020-04-27,Yorktown,434,NA,NA
2020-04-27,Totals,19072,NA,NA
2020-04-28,Ardsley,65,NA,NA
2020-04-28,Bedford,182,NA,NA
2020-04-28,Briarcliff Manor,72,NA,NA
2020-04-28,Bronxville,49,NA,NA
2020-04-28,Buchanan,28,NA,NA
2020-04-28,Cortlandt,536,NA,NA
2020-04-28,Croton-on-Hudson,122,NA,NA
2020-04-28,Dobbs Ferry,187,NA,NA
2020-04-28,Eastchester,324,NA,NA
2020-04-28,Elmsford,148,NA,NA
2020-04-28,Greenburgh,833,NA,NA
2020-04-28,Harrison,270,NA,NA
2020-04-28,Hastings-on-Hudson,82,NA,NA
2020-04-28,Irvington,62,NA,NA
2020-04-28,Larchmont,50,NA,NA
2020-04-28,Lewisboro,67,NA,NA
2020-04-28,Mamaroneck Town,112,NA,NA
2020-04-28,Mamaroneck Village,262,NA,NA
2020-04-28,Mount Kisco,198,NA,NA
2020-04-28,Mount Pleasant,438,NA,NA
2020-04-28,Mount Vernon,2067,NA,NA
2020-04-28,New Castle,127,NA,NA
2020-04-28,New Rochelle,2149,NA,NA
2020-04-28,North Castle,127,NA,NA
2020-04-28,North Salem,83,NA,NA
2020-04-28,Ossining Town,119,NA,NA
2020-04-28,Ossining Village,792,NA,NA
2020-04-28,Peekskill,568,NA,NA
2020-04-28,Pelham,121,NA,NA
2020-04-28,Pelham Manor,82,NA,NA
2020-04-28,Pleasantville,87,NA,NA
2020-04-28,Port Chester,850,NA,NA
2020-04-28,Pound Ridge,18,NA,NA
2020-04-28,Rye Brook,146,NA,NA
2020-04-28,Rye City,143,NA,NA
2020-04-28,Scarsdale,314,NA,NA
2020-04-28,Sleepy Hollow,285,NA,NA
2020-04-28,Somers,158,NA,NA
2020-04-28,Tarrytown,210,NA,NA
2020-04-28,Tuckahoe,104,NA,NA
2020-04-28,White Plains,1270,NA,NA
2020-04-28,Yonkers,5002,NA,NA
2020-04-28,Yorktown,439,NA,NA
2020-04-28,Totals,19357,NA,NA
2020-04-29,Ardsley,65,NA,NA
2020-04-29,Bedford,185,NA,NA
