date,municipality,metric,cases
2020-04-27,Ardsley,total,65
2020-04-27,Ardsley,active,NA
2020-04-27,Ardsley,new,NA
2020-04-27,Bedford,total,180
2020-04-27,Bedford,active,NA
2020-04-27,Bedford,new,NA
2020-04-27,Briarcliff Manor,total,72
2020-04-27,Briarcliff Manor,active,NA
2020-04-27,Briarcliff Manor,new,NA
2020-04-27,Bronxville,total,47
2020-04-27,Bronxville,active,NA
2020-04-27,Bronxville,new,NA
2020-04-27,Buchanan,total,27
2020-04-27,Buchanan,active,NA
2020-04-27,Buchanan,new,NA
2020-04-27,Cortlandt,total,521
2020-04-27,Cortlandt,active,NA
2020-04-27,Cortlandt,new,NA
2020-04-27,Croton-on-Hudson,total,120
2020-04-27,Croton-on-Hudson,active,NA
2020-04-27,Croton-on-Hudson,new,NA
2020-04-27,Dobbs Ferry,total,183
2020-04-27,Dobbs Ferry,active,NA
2020-04-27,Dobbs Ferry,new,NA
2020-04-27,Eastchester,total,318
2020-04-27,Eastchester,active,NA
2020-04-27,Eastchester,new,NA
2020-04-27,Elmsford,total,145
2020-04-27,Elmsford,active,NA
2020-04-27,Elmsford,new,NA
2020-04-27,Greenburgh,total,815
2020-04-27,Greenburgh,active,NA
2020-04-27,Greenburgh,new,NA
2020-04-27,Harrison,total,266
2020-04-27,Harrison,active,NA
2020-04-27,Harrison,new,NA
2020-04-27,Hastings-on-Hudson,total,82
2020-04-27,Hastings-on-Hudson,active,NA
2020-04-27,Hastings-on-Hudson,new,NA
2020-04-27,Irvington,total,61
2020-04-27,Irvington,active,NA
2020-04-27,Irvington,new,NA
2020-04-27,Larchmont,total,50
2020-04-27,Larchmont,active,NA
2020-04-27,Larchmont,new,NA
2020-04-27,Lewisboro,total,67
2020-04-27,Lewisboro,active,NA
2020-04-27,Lewisboro,new,NA
2020-04-27,Mamaroneck Town,total,112
2020-04-27,Mamaroneck Town,active,NA
2020-04-27,Mamaroneck Town,new,NA
2020-04-27,Mamaroneck Village,total,260
2020-04-27,Mamaroneck Village,active,NA
2020-04-27,Mamaroneck Village,new,NA
2020-04-27,Mount Kisco,total,196
2020-04-27,Mount Kisco,active,NA
2020-04-27,Mount Kisco,new,NA
2020-04-27,Mount Pleasant,total,432
2020-04-27,Mount Pleasant,active,NA
2020-04-27,Mount Pleasant,new,NA
2020-04-27,Mount Vernon,total,2038
2020-04-27,Mount Vernon,active,NA
2020-04-27,Mount Vernon,new,NA
2020-04-27,New Castle,total,127
2020-04-27,New Castle,active,NA
2020-04-27,New Castle,new,NA
2020-04-27,New Rochelle,total,2126
2020-04-27,New Rochelle,active,NA
2020-04-27,New Rochelle,new,NA
2020-04-27,North Castle,total,131
2020-04-27,North Castle,active,NA
2020-04-27,North Castle,new,NA
2020-04-27,North Salem,total,82
2020-04-27,North Salem,active,NA
2020-04-27,North Salem,new,NA
2020-04-27,Ossining Town,total,115
2020-04-27,Ossining Town,active,NA
2020-04-27,Ossining Town,new,NA
2020-04-27,Ossining Village,total,780
2020-04-27,Ossining Village,active,NA
2020-04-27,Ossining Village,new,NA
2020-04-27,Peekskill,total,559
2020-04-27,Peekskill,active,NA
2020-04-27,Peekskill,new,NA
2020-04-27,Pelham,total,120
2020-04-27,Pelham,active,NA
2020-04-27,Pelham,new,NA
2020-04-27,Pelham Manor,total,82
2020-04-27,Pelham Manor,active,NA
2020-04-27,Pelham Manor,new,NA
2020-04-27,Pleasantville,total,87
2020-04-27,Pleasantville,active,NA
2020-04-27,Pleasantville,new,NA
2020-04-27,Port Chester,total,836
2020-04-27,Port Chester,active,NA
2020-04-27,Port Chester,new,NA
2020-04-27,Pound Ridge,total,18
2020-04-27,Pound Ridge,active,NA
2020-04-27,Pound Ridge,new,NA
2020-04-27,Rye Brook,total,146
2020-04-27,Rye Brook,active,NA
2020-04-27,Rye Brook,new,NA
2020-04-27,Rye City,total,142
2020-04-27,Rye City,active,NA
2020-04-27,Rye City,new,NA
2020-04-27,Scarsdale,total,313
2020-04-27,Scarsdale,active,NA
2020-04-27,Scarsdale,new,NA
2020-04-27,Sleepy Hollow,total,284
2020-04-27,Sleepy Hollow,active,NA
2020-04-27,Sleepy Hollow,new,NA
2020-04-27,Somers,total,155
2020-04-27,Somers,active,NA
2020-04-27,Somers,new,NA
2020-04-27,Tarrytown,total,206
2020-04-27,Tarrytown,active,NA
2020-04-27,Tarrytown,new,NA
2020-04-27,Tuckahoe,total,103
2020-04-27,Tuckahoe,active,NA
2020-04-27,Tuckahoe,new,NA
2020-04-27,White Plains,total,1247
2020-04-27,White Plains,active,NA
2020-04-27,White Plains,new,NA
2020-04-27,Yonkers,total,4922
2020-04-27,Yonkers,active,NA
2020-04-27,Yonkers,new,NA
2020-04-27,Yorktown,total,434
2020-04-27,Yorktown,active,NA
2020-04-27,Yorktown,new,NA
2020-04-27,Totals,total,19072
2020-04-27,Totals,active,NA
2020-04-27,Totals,new,NA
2020-04-28,Ardsley,total,65
2020-04-28,Ardsley,active,NA
2020-04-28,Ardsley,new,NA
2020-04-28,Bedford,total,182
2020-04-28,Bedford,active,NA
2020-04-28,Bedford,new,NA
2020-04-28,Briarcliff Manor,total,72
2020-04-28,Briarcliff Manor,active,NA
2020-04-28,Briarcliff Manor,new,NA
2020-04-28,Bronxville,total,49
2020-04-28,Bronxville,active,NA
2020-04-28,Bronxville,new,NA
2020-04-28,Buchanan,total,28
2020-04-28,Buchanan,active,NA
2020-04-28,Buchanan,new,NA
2020-04-28,Cortlandt,total,536
2020-04-28,Cortlandt,active,NA
2020-04-28,Cortlandt,new,NA
2020-04-28,Croton-on-Hudson,total,122
2020-04-28,Croton-on-Hudson,active,NA
2020-04-28,Croton-on-Hudson,new,NA
2020-04-28,Dobbs Ferry,total,187
2020-04-28,Dobbs Ferry,active,NA
2020-04-28,Dobbs Ferry,new,NA
2020-04-28,Eastchester,total,324
2020-04-28,Eastchester,active,NA
2020-04-28,Eastchester,new,NA
2020-04-28,Elmsford,total,148
2020-04-28,Elmsford,active,NA
2020-04-28,Elmsford,new,NA
2020-04-28,Greenburgh,total,833
2020-04-28,Greenburgh,active,NA
2020-04-28,Greenburgh,new,NA
2020-04-28,Harrison,total,270
2020-04-28,Harrison,active,NA
2020-04-28,Harrison,new,NA
2020-04-28,Hastings-on-Hudson,total,82
2020-04-28,Hastings-on-Hudson,active,NA
2020-04-28,Hastings-on-Hudson,new,NA
2020-04-28,Irvington,total,62
2020-04-28,Irvington,active,NA
2020-04-28,Irvington,new,NA
2020-04-28,Larchmont,total,50
2020-04-28,Larchmont,active,NA
2020-04-28,Larchmont,new,NA
2020-04-28,Lewisboro,total,67
2020-04-28,Lewisboro,active,NA
2020-04-28,Lewisboro,new,NA
2020-04-28,Mamaroneck Town,total,112
2020-04-28,Mamaroneck Town,active,NA
2020-04-28,Mamaroneck Town,new,NA
2020-04-28,Mamaroneck Village,total,262
2020-04-28,Mamaroneck Village,active,NA
2020-04-28,Mamaroneck Village,new,NA
2020-04-28,Mount Kisco,total,198
2020-04-28,Mount Kisco,active,NA
2020-04-28,Mount Kisco,new,NA
2020-04-28,Mount Pleasant,total,438
2020-04-28,Mount Pleasant,active,NA
2020-04-28,Mount Pleasant,new,NA
2020-04-28,Mount Vernon,total,2067
2020-04-28,Mount Vernon,active,NA
2020-04-28,Mount Vernon,new,NA
2020-04-28,New Castle,total,127
2020-04-28,New Castle,active,NA
2020-04-28,New Castle,new,NA
2020-04-28,New Rochelle,total,2149
2020-04-28,New Rochelle,active,NA
2020-04-28,New Rochelle,new,NA
2020-04-28,North Castle,total,127
2020-04-28,North Castle,active,NA
2020-04-28,North Castle,new,NA
2020-04-28,North Salem,total,83
2020-04-28,North Salem,active,NA
2020-04-28,North Salem,new,NA
2020-04-28,Ossining Town,total,119
2020-04-28,Ossining Town,active,NA
2020-04-28,Ossining Town,new,NA
2020-04-28,Ossining Village,total,792
2020-04-28,Ossining Village,active,NA
2020-04-28,Ossining Village,new,NA
2020-04-28,Peekskill,total,568
2020-04-28,Peekskill,active,NA
2020-04-28,Peekskill,new,NA
2020-04-28,Pelham,total,121
2020-04-28,Pelham,active,NA
2020-04-28,Pelham,new,NA
2020-04-28,Pelham Manor,total,82
2020-04-28,Pelham Manor,active,NA
2020-04-28,Pelham Manor,new,NA
2020-04-28,Pleasantville,total,87
2020-04-28,Pleasantville,active,NA
2020-04-28,Pleasantville,new,NA
2020-04-28,Port Chester,total,850
2020-04-28,Port Chester,active,NA
2020-04-28,Port Chester,new,NA
2020-04-28,Pound Ridge,total,18
2020-04-28,Pound Ridge,active,NA
2020-04-28,Pound Ridge,new,NA
2020-04-28,Rye Brook,total,146
2020-04-28,Rye Brook,active,NA
2020-04-28,Rye Brook,new,NA
2020-04-28,Rye City,total,143
2020-04-28,Rye City,active,NA
2020-04-28,Rye City,new,NA
2020-04-28,Scarsdale,total,314
2020-04-28,Scarsdale,active,NA
2020-04-28,Scarsdale,new,NA
2020-04-28,Sleepy Hollow,total,285
2020-04-28,Sleepy Hollow,active,NA
2020-04-28,Sleepy Hollow,new,NA
2020-04-28,Somers,total,158
2020-04-28,Somers,active,NA
2020-04-28,Somers,new,NA
2020-04-28,Tarrytown,total,210
2020-04-28,Tarrytown,active,NA
2020-04-28,Tarrytown,new,NA
2020-04-28,Tuckahoe,total,104
2020-04-28,Tuckahoe,active,NA
2020-04-28,Tuckahoe,new,NA
2020-04-28,White Plains,total,1270
2020-04-28,White Plains,active,NA
2020-04-28,White Plains,new,NA
2020-04-28,Yonkers,total,5002
2020-04-28,Yonkers,active,NA
2020-04-28,Yonkers,new,NA
2020-04-28,Yorktown,total,439
2020-04-28,Yorktown,active,NA
2020-04-28,Yorktown,new,NA
2020-04-28,Totals,total,19357
2020-04-28,Totals,active,NA
2020-04-28,Totals,new,NA
2020-04-29,Ardsley,total,65
2020-04-29,Ardsley,active,NA
2020-04-29,Ardsley,new,NA
2020-04-29,Bedford,total,185
2020-04-29,Bedford,active,NA
2020-04-29,Bedford,new,NA
2020-04-29,Briarcliff Manor,total,74
2020-04-29,Briarcliff Manor,active,NA
2020-04-29,Briarcliff Manor,new,NA
2020-04-29,Bronxville,total,49
2020-04-29,Bronxville,active,NA
2020-04-29,Bronxville,new,NA
2020-04-29,Buchanan,total,30
2020-04-29,Buchanan,active,NA
2020-04-29,Buchanan,new,NA
2020-04-29,Cortlandt,total,578
2020-04-29,Cortlandt,active,NA
2020-04-29,Cortlandt,new,NA
2020-04-29,Croton-on-Hudson,total,130
2020-04-29,Croton-on-Hudson,active,NA
2020-04-29,Croton-on-Hudson,new,NA
2020-04-29,Dobbs Ferry,total,202
2020-04-29,Dobbs Ferry,active,NA
2020-04-29,Dobbs Ferry,new,NA
2020-04-29,Eastchester,total,327
2020-04-29,Eastchester,active,NA
2020-04-29,Eastchester,new,NA
2020-04-29,Elmsford,total,148
2020-04-29,Elmsford,active,NA
2020-04-29,Elmsford,new,NA
2020-04-29,Greenburgh,total,843
2020-04-29,Greenburgh,active,NA
2020-04-29,Greenburgh,new,NA
2020-04-29,Harrison,total,278
2020-04-29,Harrison,active,NA
2020-04-29,Harrison,new,NA
2020-04-29,Hastings-on-Hudson,total,84
2020-04-29,Hastings-on-Hudson,active,NA
2020-04-29,Hastings-on-Hudson,new,NA
2020-04-29,Irvington,total,63
2020-04-29,Irvington,active,NA
2020-04-29,Irvington,new,NA
2020-04-29,Larchmont,total,50
2020-04-29,Larchmont,active,NA
2020-04-29,Larchmont,new,NA
2020-04-29,Lewisboro,total,72
2020-04-29,Lewisboro,active,NA
2020-04-29,Lewisboro,new,NA
2020-04-29,Mamaroneck Town,total,115
2020-04-29,Mamaroneck Town,active,NA
2020-04-29,Mamaroneck Town,new,NA
2020-04-29,Mamaroneck Village,total,269
2020-04-29,Mamaroneck Village,active,NA
2020-04-29,Mamaroneck Village,new,NA
2020-04-29,Mount Kisco,total,201
2020-04-29,Mount Kisco,active,NA
2020-04-29,Mount Kisco,new,NA
2020-04-29,Mount Pleasant,total,445
2020-04-29,Mount Pleasant,active,NA
2020-04-29,Mount Pleasant,new,NA
2020-04-29,Mount Vernon,total,2091
2020-04-29,Mount Vernon,active,NA
2020-04-29,Mount Vernon,new,NA
2020-04-29,New Castle,total,128
2020-04-29,New Castle,active,NA
2020-04-29,New Castle,new,NA
2020-04-29,New Rochelle,total,2185
2020-04-29,New Rochelle,active,NA
2020-04-29,New Rochelle,new,NA
2020-04-29,North Castle,total,138
2020-04-29,North Castle,active,NA
2020-04-29,North Castle,new,NA
2020-04-29,North Salem,total,93
2020-04-29,North Salem,active,NA
2020-04-29,North Salem,new,NA
2020-04-29,Ossining Town,total,122
2020-04-29,Ossining Town,active,NA
2020-04-29,Ossining Town,new,NA
2020-04-29,Ossining Village,total,812
2020-04-29,Ossining Village,active,NA
2020-04-29,Ossining Village,new,NA
2020-04-29,Peekskill,total,596
2020-04-29,Peekskill,active,NA
2020-04-29,Peekskill,new,NA
2020-04-29,Pelham,total,122
2020-04-29,Pelham,active,NA
2020-04-29,Pelham,new,NA
2020-04-29,Pelham Manor,total,82
2020-04-29,Pelham Manor,active,NA
2020-04-29,Pelham Manor,new,NA
2020-04-29,Pleasantville,total,87
2020-04-29,Pleasantville,active,NA
2020-04-29,Pleasantville,new,NA
2020-04-29,Port Chester,total,879
2020-04-29,Port Chester,active,NA
2020-04-29,Port Chester,new,NA
2020-04-29,Pound Ridge,total,18
2020-04-29,Pound Ridge,active,NA
2020-04-29,Pound Ridge,new,NA
2020-04-29,Rye Brook,total,147
2020-04-29,Rye Brook,active,NA
2020-04-29,Rye Brook,new,NA
2020-04-29,Rye City,total,174
2020-04-29,Rye City,active,NA
2020-04-29,Rye City,new,NA
2020-04-29,Scarsdale,total,314
2020-04-29,Scarsdale,active,NA
2020-04-29,Scarsdale,new,NA
2020-04-29,Sleepy Hollow,total,293
2020-04-29,Sleepy Hollow,active,NA
2020-04-29,Sleepy Hollow,new,NA
2020-04-29,Somers,total,164
2020-04-29,Somers,active,NA
2020-04-29,Somers,new,NA
2020-04-29,Tarrytown,total,219
2020-04-29,Tarrytown,active,NA
2020-04-29,Tarrytown,new,NA
2020-04-29,Tuckahoe,total,106
2020-04-29,Tuckahoe,active,NA
2020-04-29,Tuckahoe,new,NA
2020-04-29,White Plains,total,1293
2020-04-29,White Plains,active,NA
2020-04-29,White Plains,new,NA
2020-04-29,Yonkers,total,5096
2020-04-29,Yonkers,active,NA
2020-04-29,Yonkers,new,NA
2020-04-29,Yorktown,total,450
2020-04-29,Yorktown,active,NA
2020-04-29,Yorktown,new,NA
2020-04-29,Totals,total,19790
2020-04-29,Totals,active,NA
2020-04-29,Totals,new,NA
2020-04-30,Ardsley,total,66
2020-04-30,Ardsley,active,NA
2020-04-30,Ardsley,new,NA
2020-04-30,Bedford,total,188
2020-04-30,Bedford,active,NA
2020-04-30,Bedford,new,NA
2020-04-30,Briarcliff Manor,total,74
2020-04-30,Briarcliff Manor,active,NA
2020-04-30,Briarcliff Manor,new,NA
2020-04-30,Bronxville,total,50
2020-04-30,Bronxville,active,NA
2020-04-30,Bronxville,new,NA
2020-04-30,Buchanan,total,30
2020-04-30,Buchanan,active,NA
2020-04-30,Buchanan,new,NA
2020-04-30,Cortlandt,total,596
2020-04-30,Cortlandt,active,NA
2020-04-30,Cortlandt,new,NA
2020-04-30,Croton-on-Hudson,total,132
2020-04-30,Croton-on-Hudson,active,NA
2020-04-30,Croton-on-Hudson,new,NA
2020-04-30,Dobbs Ferry,total,204
2020-04-30,Dobbs Ferry,active,NA
2020-04-30,Dobbs Ferry,new,NA
2020-04-30,Eastchester,total,329
2020-04-30,Eastchester,active,NA
2020-04-30,Eastchester,new,NA
2020-04-30,Elmsford,total,147
2020-04-30,Elmsford,active,NA
2020-04-30,Elmsford,new,NA
2020-04-30,Greenburgh,total,849
2020-04-30,Greenburgh,active,NA
2020-04-30,Greenburgh,new,NA
2020-04-30,Harrison,total,285
2020-04-30,Harrison,active,NA
2020-04-30,Harrison,new,NA
2020-04-30,Hastings-on-Hudson,total,84
2020-04-30,Hastings-on-Hudson,active,NA
2020-04-30,Hastings-on-Hudson,new,NA
2020-04-30,Irvington,total,66
2020-04-30,Irvington,active,NA
2020-04-30,Irvington,new,NA
2020-04-30,Larchmont,total,50
2020-04-30,Larchmont,active,NA
2020-04-30,Larchmont,new,NA
2020-04-30,Lewisboro,total,73
2020-04-30,Lewisboro,active,NA
2020-04-30,Lewisboro,new,NA
2020-04-30,Mamaroneck Town,total,118
2020-04-30,Mamaroneck Town,active,NA
2020-04-30,Mamaroneck Town,new,NA
2020-04-30,Mamaroneck Village,total,269
2020-04-30,Mamaroneck Village,active,NA
2020-04-30,Mamaroneck Village,new,NA
2020-04-30,Mount Kisco,total,203
2020-04-30,Mount Kisco,active,NA
2020-04-30,Mount Kisco,new,NA
2020-04-30,Mount Pleasant,total,450
2020-04-30,Mount Pleasant,active,NA
2020-04-30,Mount Pleasant,new,NA
2020-04-30,Mount Vernon,total,2111
2020-04-30,Mount Vernon,active,NA
2020-04-30,Mount Vernon,new,NA
2020-04-30,New Castle,total,139
2020-04-30,New Castle,active,NA
2020-04-30,New Castle,new,NA
2020-04-30,New Rochelle,total,2124
2020-04-30,New Rochelle,active,NA
2020-04-30,New Rochelle,new,NA
2020-04-30,North Castle,total,139
2020-04-30,North Castle,active,NA
2020-04-30,North Castle,new,NA
2020-04-30,North Salem,total,94
2020-04-30,North Salem,active,NA
2020-04-30,North Salem,new,NA
2020-04-30,Ossining Town,total,123
2020-04-30,Ossining Town,active,NA
2020-04-30,Ossining Town,new,NA
2020-04-30,Ossining Village,total,821
2020-04-30,Ossining Village,active,NA
2020-04-30,Ossining Village,new,NA
2020-04-30,Peekskill,total,612
2020-04-30,Peekskill,active,NA
2020-04-30,Peekskill,new,NA
2020-04-30,Pelham,total,122
2020-04-30,Pelham,active,NA
2020-04-30,Pelham,new,NA
2020-04-30,Pelham Manor,total,83
2020-04-30,Pelham Manor,active,NA
2020-04-30,Pelham Manor,new,NA
2020-04-30,Pleasantville,total,88
2020-04-30,Pleasantville,active,NA
2020-04-30,Pleasantville,new,NA
2020-04-30,Port Chester,total,899
2020-04-30,Port Chester,active,NA
2020-04-30,Port Chester,new,NA
2020-04-30,Pound Ridge,total,18
2020-04-30,Pound Ridge,active,NA
2020-04-30,Pound Ridge,new,NA
2020-04-30,Rye Brook,total,147
2020-04-30,Rye Brook,active,NA
2020-04-30,Rye Brook,new,NA
2020-04-30,Rye City,total,148
2020-04-30,Rye City,active,NA
