date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k,new_cases,new_deaths,total_cases,total_deaths
2020-03-01,USA-36998,New York City,New York,1,0.14,0,0,0,0,1,0,1,0
2020-03-02,USA-36998,New York City,New York,0,0.14,0,0,0,0,0,0,1,0
2020-03-03,USA-36998,New York City,New York,1,0.29,0,0,0,0,1,0,2,0
2020-03-04,USA-36998,New York City,New York,0,0.29,0,0,0,0,0,0,2,0
2020-03-04,USA-36119,Westchester,New York,9,1.29,0.13,0,0,0,9,0,9,0
2020-03-04,USA-34003,Bergen,New Jersey,1,0.14,0.02,0,0,0,1,0,1,0
2020-03-05,USA-36998,New York City,New York,2,0.57,0.01,0,0,0,2,0,4,0
2020-03-05,USA-36119,Westchester,New York,8,2.43,0.25,0,0,0,8,0,17,0
2020-03-05,USA-36059,Nassau,New York,1,0.14,0.01,0,0,0,1,0,1,0
2020-03-05,USA-34003,Bergen,New Jersey,1,0.29,0.03,0,0,0,1,0,2,0
2020-03-06,USA-36998,New York City,New York,1,0.71,0.01,0,0,0,1,0,5,0
2020-03-06,USA-36119,Westchester,New York,16,4.71,0.49,0,0,0,16,0,33,0
2020-03-06,USA-36087,Rockland,New York,2,0.29,0.09,0,0,0,2,0,2,0
2020-03-06,USA-36059,Nassau,New York,3,0.57,0.04,0,0,0,3,0,4,0
2020-03-06,USA-34003,Bergen,New Jersey,1,0.43,0.05,0,0,0,1,0,3,0
2020-03-07,USA-36998,New York City,New York,7,1.71,0.02,0,0,0,7,0,12,0
2020-03-07,USA-36119,Westchester,New York,36,9.86,1.02,0,0,0,36,0,69,0
2020-03-07,USA-36087,Rockland,New York,0,0.29,0.09,0,0,0,0,0,2,0
2020-03-07,USA-36059,Nassau,New York,0,0.57,0.04,0,0,0,0,0,4,0
2020-03-07,USA-34003,Bergen,New Jersey,0,0.43,0.05,0,0,0,0,0,3,0
2020-03-08,USA-36998,New York City,New York,2,1.86,0.02,0,0,0,2,0,14,0
2020-03-08,USA-36119,Westchester,New York,12,11.57,1.2,0,0,0,12,0,81,0
2020-03-08,USA-36111,Ulster,New York,1,0.14,0.08,0,0,0,1,0,1,0
2020-03-08,USA-36103,Suffolk,New York,1,0.14,0.01,0,0,0,1,0,1,0
2020-03-08,USA-36087,Rockland,New York,0,0.29,0.09,0,0,0,0,0,2,0
