hospital_pk,fips_code,county,state,year_week,bed_capacity,bed_occupied,icu_capacity,icu_occupied,covid_patients,icu_covid_patients
330100,36061,New York,NY,2022-05-13,NA,NA,0,0,0,0
330100,36061,New York,NY,2022-04-15,NA,NA,0,0,0,0
330279,36029,Erie,NY,2022-01-21,225,202.4,20,24,60.1,5.1
072003,09009,New Haven,CT,2021-05-14,124,118.6,0,0,0,0
330410,36061,New York,NY,2020-10-02,56,56,0,0,0,0
330107,36103,Suffolk,NY,2020-10-02,NA,NA,NA,NA,NA,0
330125,36055,Monroe,NY,2020-09-25,NA,NA,NA,NA,NA,NA
330030,36117,Wayne,NY,2020-09-25,NA,NA,NA,NA,NA,NA
312024,34013,Essex,NJ,2020-09-18,136,64.8,NA,NA,182,NA
330215,36065,Oneida,NY,2020-09-18,NA,NA,NA,NA,NA,NA
330030,36117,Wayne,NY,2020-09-18,NA,NA,NA,NA,NA,NA
330397,36047,Kings,NY,2020-09-11,NA,NA,NA,NA,NA,NA
330030,36117,Wayne,NY,2020-09-11,NA,NA,NA,NA,NA,NA
330265,36069,Ontario,NY,2020-09-04,NA,NA,NA,NA,NA,NA
331319,36073,Orleans,NY,2020-09-04,NA,NA,NA,NA,NA,NA
330224,36111,Ulster,NY,2020-09-04,0,NA,0,NA,NA,NA
310008,34003,Bergen,NJ,2020-08-14,231,158.9,NA,NA,NA,NA
330397,36047,Kings,NY,2020-08-07,NA,NA,NA,NA,NA,NA
330406,36093,Schenectady,NY,2020-08-07,NA,NA,NA,NA,NA,NA
330107,36103,Suffolk,NY,2020-08-07,NA,NA,NA,NA,NA,0
330158,36087,Rockland,NY,2020-07-31,NA,NA,NA,NA,4.3,NA
330211,36089,St. Lawrence,NY,2022-08-05,58,32.9,9.1,5.7,NA,NA
330169,36061,New York,NY,2022-08-12,398.6,308.1,45,31.9,51.7,4
310019,34031,Passaic,NJ,2022-08-12,669,435.4,72,51.7,48.6,6.9
330128,36081,Queens,NY,2022-08-12,456,376,35,26.7,24.4,NA
330331,36059,Nassau,NY,2022-08-12,147,99.4,21,7.7,17.3,NA
310040,34017,Hudson,NJ,2022-08-05,138,74.4,19,8.6,10,NA
331302,36031,Essex,NY,2022-08-05,18,10.9,0,0,NA,0
330396,36047,Kings,NY,2022-08-05,227,182,24,20.3,13.3,NA
330245,36065,Oneida,NY,2022-08-05,143,128.1,23,19.6,4,NA
330286,36103,Suffolk,NY,2022-08-05,466,306.9,60,47.3,36.7,NA
330182,36059,Nassau,NY,2022-08-05,454,297.9,80,45,23.9,NA
310006,34031,Passaic,NJ,2022-08-05,162,81.3,40,21.3,7.3,NA
331302,36031,Essex,NY,2022-08-12,18,18,0,0,0,0
331313,36097,Schuyler,NY,2022-08-12,16,13.4,0,0,0,0
330096,36003,Allegany,NY,2022-08-05,36,21.4,6,4,NA,NA
330085,36077,Otsego,NY,2022-08-05,53,18,0,0,NA,0
330386,36105,Sullivan,NY,2022-08-05,85,54.7,11,9.6,7.1,NA
330250,36019,Clinton,NY,2022-08-05,176.9,162.3,11.4,10.9,18.6,0
330074,36069,Ontario,NY,2022-08-12,102,82.3,12,10.6,6.7,NA
330394,36007,Broome,NY,2022-08-12,337.4,275.3,35,33.9,18,0
330009,36005,Bronx,NY,2022-08-12,369,278.3,37,28.4,27,NA
330184,36119,Westchester,NY,2022-08-12,81,69.3,7,4.1,7.3,NA
070010,09001,Fairfield,CT,2022-07-29,469,332.6,48,37.3,32.4,NA
330106,36059,Nassau,NY,2022-08-12,912,774.7,87.9,63.6,68.7,11.9
310045,34003,Bergen,NJ,2022-08-12,283.7,182.6,18,10.1,9.1,0
310076,34013,Essex,NJ,2022-08-05,529.1,494.3,46,28.3,24.3,NA
310083,34013,Essex,NJ,2022-08-12,202,83.1,20,8.3,6.3,NA
330136,36077,Otsego,NY,2022-08-05,152.3,138.1,14,13.3,6.1,NA
330154,36061,New York,NY,2022-08-12,476,469.9,20,20.7,20.7,NA
331314,36123,Yates,NY,2022-08-05,13.7,13.7,0,0,NA,0
330273,36079,Putnam,NY,2022-08-12,114,61.3,10,5.4,6,NA
331305,36025,Delaware,NY,2022-08-05,20,9.4,0,0,0,0
330285,36055,Monroe,NY,2022-08-12,741,721.3,106,100.7,27.3,NA
330205,36071,Orange,NY,2022-08-12,58,22.1,8,4.6,NA,NA
330158,36087,Rockland,NY,2022-08-05,244,140.7,62,18.9,19.1,4.4
070006,09001,Fairfield,CT,2022-08-12,278,225.4,47,21.3,9,0
330394,36007,Broome,NY,2022-08-05,341,282.1,35,34.7,17.6,0
070039,09009,New Haven,CT,2022-07-29,42.1,42.1,0,0,NA,0
070010,09001,Fairfield,CT,2022-08-05,469,343.3,48,35,30.4,4.6
330204,36061,New York,NY,2022-08-05,743.4,631.4,91.4,83.7,29.4,4
331309,36045,Jefferson,NY,2022-08-05,15,12.1,0,0,0,0
310074,34017,Hudson,NJ,2022-08-05,280.3,248,53,24.3,17.9,NA
330008,36121,Wyoming,NY,2022-08-12,64,29,6,NA,NA,NA
330009,36005,Bronx,NY,2022-08-05,369,274.9,37,26.1,25.7,NA
330279,36029,Erie,NY,2022-08-12,250,209.1,28,22.6,13.4,NA
331310,36111,Ulster,NY,2022-08-05,25,20.4,0,0,NA,0
330236,36047,Kings,NY,2022-08-12,530,427.1,34,29,35,NA
330224,36111,Ulster,NY,2022-08-12,0,0,0,0,0,0
070039,09009,New Haven,CT,2022-08-05,41,41,0,0,0,0
310003,34017,Hudson,NJ,2022-08-05,174,108.6,26,4.6,9.6,NA
330214,36061,New York,NY,2022-08-05,1592.7,1267.1,218,173.1,93.3,11.4
330194,36047,Kings,NY,2022-08-05,562,494.1,57,42.4,38.6,NA
330239,36013,Chautauqua,NY,2022-08-12,78.7,65.9,8.1,6.7,5.7,NA
330188,36063,Niagara,NY,2022-08-12,51,34.6,8,4.7,NA,0
330030,36117,Wayne,NY,2022-08-05,94,63.3,9,7.6,NA,NA
330218,36075,Oswego,NY,2022-08-12,50,41.7,8,5.7,NA,0
330104,36087,Rockland,NY,2022-08-12,190,106.6,20,12.3,11,0
070031,09009,New Haven,CT,2022-07-29,99,72.6,14,6.7,7.4,NA
332006,36005,Bronx,NY,2022-08-05,225,214.9,0,0,NA,0
070011,09005,Litchfield,CT,2022-07-29,90,67.3,34,8.7,5.4,NA
310017,34027,Morris,NJ,2022-08-05,196.3,124.1,41,13,9,NA
331313,36097,Schuyler,NY,2022-08-05,16,14.4,0,0,0,0
330004,36111,Ulster,NY,2022-08-12,111,87.4,13,5.1,10.6,NA
070018,09001,Fairfield,CT,2022-08-05,172,126.9,12,6.1,7.6,0
330270,36061,New York,NY,2022-08-05,172,86.6,4,NA,NA,0
330135,36071,Orange,NY,2022-08-12,105,21.7,13,NA,NA,0
330115,36053,Madison,NY,2022-08-05,36,29.3,6,NA,NA,0
330234,36119,Westchester,NY,2022-08-12,710,614,104,83.6,42.3,8.7
330180,36083,Rensselaer,NY,2022-08-05,174,153.1,20,9.1,9.9,NA
310076,34013,Essex,NJ,2022-08-12,519.3,483.4,46,25.3,27.4,NA
330185,36103,Suffolk,NY,2022-08-12,243,144.9,20,15.7,28.9,4.6
310118,34017,Hudson,NJ,2022-08-05,127,32.9,14,NA,NA,0
330259,36059,Nassau,NY,2022-08-12,261,177.4,29,9.6,12.4,NA
070022,09009,New Haven,CT,2022-08-05,1306,1118.1,203,140.6,79.6,7
330233,36047,Kings,NY,2022-08-12,239,210.7,38,6.4,16.3,NA
330265,36069,Ontario,NY,2022-08-05,80,60.1,6,5.4,NA,NA
330049,36027,Dutchess,NY,2022-08-05,105,71.6,7,4.3,6.6,NA
310096,34013,Essex,NJ,2022-08-12,128,48,25,9.1,NA,0
330385,36005,Bronx,NY,2022-08-12,179.3,103,0,0,5,0
070022,09009,New Haven,CT,2022-07-29,1306,1102.9,203,128.4,87.3,6
330215,36065,Oneida,NY,2022-08-05,46.9,29.9,10,6.9,NA,0
330151,36101,Steuben,NY,2022-08-12,14.9,12,0,0,NA,0
330397,36047,Kings,NY,2022-08-12,231,183.7,13,11.7,26.9,NA
330111,36029,Erie,NY,2022-08-05,21,8.7,0,0,NA,0
330233,36047,Kings,NY,2022-08-05,239,212,39,38,23,NA
312020,34027,Morris,NJ,2022-08-12,74.9,59.9,0,0,0,0
330222,36091,Saratoga,NY,2022-08-05,183,146.3,31,15.7,9.1,NA
332008,36061,New York,NY,2022-08-05,201,108.4,0,0,NA,0
330162,36119,Westchester,NY,2022-08-12,202,106.6,11,6.1,9,0
330193,36081,Queens,NY,2022-08-05,168,126.4,22,4.4,18,8.4
330175,36023,Cortland,NY,2022-08-12,55.3,48.6,9.4,8.7,NA,NA
330125,36055,Monroe,NY,2022-08-05,521,444.4,74,44.9,38.9,NA
330222,36091,Saratoga,NY,2022-08-12,183,161.4,31,16.7,10.7,NA
310012,34003,Bergen,NJ,2022-08-12,415,318.4,63,33.9,18.4,NA
310074,34017,Hudson,NJ,2022-08-12,279.1,240.4,53,20.4,16.9,NA
070039,09009,New Haven,CT,2022-08-12,43,42.1,0,0,0,0
330241,36067,Onondaga,NY,2022-08-12,492,469.1,95,87.7,22.3,5.4
330276,36035,Fulton,NY,2022-08-12,48,28.6,8,5,NA,NA
