municipality,total_pop,over_65,crowded_d,crowded,poverty_d,poverty,black_lat,educ_d,hs_less,over_65_pct,crowded_pct,poverty_pct,black_lat_pct,hs_less_pct
Ardsley,4512,988,1601,57,1239,73,534,3236,667,0.21897163120567376,0.03560274828232355,0.058918482647296204,0.11835106382978723,0.2061186650185414
Bedford,17803,2605,5878,104,4753,543,3757,12167,2800,0.1463236533168567,0.017693092888737667,0.11424363559856933,0.21103184856484863,0.23013068135119585
Briarcliff Manor,7035,1433,2516,0,2039,71,704,4834,672,0.2036958066808813,0,0.03482099068170672,0.10007107320540157,0.13901530823334712
Bronxville,6409,977,2212,19,1550,86,539,3864,328,0.1524418786082072,0.008589511754068717,0.05548387096774193,0.08410048369480418,0.08488612836438923
Buchanan,2140,311,728,30,565,61,466,1514,506,0.1453271028037383,0.04120879120879121,0.1079646017699115,0.2177570093457944,0.3342140026420079
Cortlandt,32131,5295,11248,193,8318,751,8174,22321,6283,0.16479412405465127,0.017158605974395447,0.09028612647270978,0.2543960661043852,0.2814838044890462
Croton-on-Hudson,8155,1386,2938,36,2163,141,1549,5399,1136,0.16995708154506436,0.012253233492171545,0.0651872399445215,0.18994481912936848,0.21040933506204854
Dobbs Ferry,11070,1655,3670,84,2740,195,2114,7157,1188,0.14950316169828365,0.022888283378746595,0.07116788321167883,0.19096657633243,0.16599133715243816
Eastchester,19990,3914,7757,85,5303,318,1534,13977,2598,0.19579789894947475,0.010957844527523528,0.059966056948896854,0.0767383691845923,0.18587679759605066
Elmsford,4372,535,1225,73,965,174,3205,3001,1339,0.12236962488563587,0.05959183673469388,0.18031088082901556,0.7330741079597438,0.4461846051316228
Greenburgh,45542,8649,17361,324,11802,1063,14835,32915,6166,0.18991260814193492,0.01866251944012442,0.09006947974919505,0.32574326994861885,0.1873310041014735
Harrison,28135,4146,8412,94,6148,582,4927,16959,4530,0.14736093833303715,0.011174512601046125,0.09466493168510084,0.1751199573484983,0.26711480629754114
Hastings-on-Hudson,7921,1480,2875,55,2132,121,750,5479,772,0.18684509531624796,0.019130434782608695,0.05675422138836773,0.09468501451836889,0.1409016243840117
Irvington,6529,1154,2366,17,1636,76,411,4090,405,0.17674988512789094,0.007185122569737954,0.04645476772616137,0.06294991576045336,0.09902200488997555
Larchmont,6096,682,2133,17,1604,59,641,3890,144,0.1118766404199475,0.007969995311767463,0.03678304239401496,0.1051509186351706,0.037017994858611826
Lewisboro,12599,2029,4703,49,3743,199,1062,8660,993,0.16104452734343996,0.010418881564958538,0.05316590969810313,0.08429240415906024,0.11466512702078521
Mamaroneck Town,12123,1861,4318,74,3375,54,966,8114,1061,0.15350985729604882,0.01713756368689208,0.016,0.07968324672110863,0.13076164653684988
Mamaroneck Village,19217,3493,6991,334,4862,678,5700,13550,4217,0.1817661445595046,0.04777571162923759,0.13944878650761003,0.29661237446011346,0.3112177121771218
Mount Kisco,10866,1716,3926,321,2401,369,4948,7583,3144,0.157923799006074,0.08176260825267448,0.153685964181591,0.4553653598380269,0.41461163128049583
Mount Pleasant,27707,4514,8388,211,6768,399,4448,18589,4985,0.1629191179124409,0.02515498330948975,0.05895390070921986,0.16053704839932148,0.2681693474635537
Mount Vernon,67896,10717,25763,1353,15092,3849,53524,48458,21154,0.15784435018263226,0.0525171757947444,0.25503578054598464,0.7883233180157888,0.4365429856783194
New Castle,17905,2466,5880,45,5188,200,919,11601,912,0.1377268919296286,0.007653061224489796,0.03855050115651504,0.05132644512705948,0.07861391259374192
New Rochelle,79067,13916,28581,1651,18716,3548,38696,54048,19638,0.1760026306803091,0.0577656485077499,0.18957042103013463,0.4894077175054068,0.3633436944937833
North Castle,12235,1665,4092,17,3489,154,1708,8187,1016,0.13608500204331836,0.004154447702834799,0.04413872169676125,0.13959950960359624,0.12409918162941248
North Salem,5167,1071,1824,86,1359,143,645,3785,761,0.20727694987420167,0.047149122807017545,0.10522442972774099,0.12483065608670409,0.2010568031704095
Ossining Town,5521,1350,2124,40,1514,84,1267,4479,921,0.2445209201231661,0.018832391713747645,0.05548216644649934,0.22948741170077885,0.2056262558606832
Ossining Village,25086,3567,8807,320,5818,1584,14306,18287,8061,0.14219086342980147,0.036334733734529355,0.2722585080783774,0.5702782428446145,0.440804943402417
Peekskill,24075,3610,9402,573,5526,1541,15823,16242,7352,0.14994807892004153,0.06094447989789407,0.2788635541078538,0.6572377985462098,0.4526536140869351
Pelham,6941,946,2285,73,1829,157,1809,4585,1188,0.13629160063391443,0.03194748358862144,0.08583925642427556,0.26062527013398645,0.25910577971646676
Pelham Manor,5569,741,1721,13,1419,41,903,3351,407,0.1330579996408691,0.007553747821034283,0.028893587033121917,0.16214760280122104,0.12145628170695315
Pleasantville,7221,1063,2417,181,1775,241,1663,4638,854,0.14720952776623736,0.07488622258998759,0.13577464788732393,0.23030051239440522,0.1841310909874946
Port Chester,29342,3825,9072,939,6678,1690,19646,19731,10387,0.13035921205098494,0.103505291005291,0.2530697813716682,0.6695521777656601,0.5264304900917338
Pound Ridge,5177,1181,1884,0,1594,22,384,3809,416,0.22812439636855322,0,0.013801756587202008,0.07417423218079969,0.10921501706484642
Rye Brook,9487,1985,3418,13,2690,116,1629,6655,1298,0.20923368820491198,0.0038033937975424223,0.04312267657992565,0.17170865394750712,0.19504132231404958
Rye City,15820,2454,5491,170,4013,202,1219,9909,1134,0.15512010113780025,0.030959752321981424,0.05033640667829554,0.0770543615676359,0.11444141689373297
Scarsdale,17837,2819,5577,0,4969,180,1292,11335,681,0.15804227168245782,0,0.03622459247333468,0.07243370521948758,0.06007940008822232
Sleepy Hollow,10042,1600,3732,188,2568,642,5037,6832,2875,0.15933081059549892,0.05037513397642015,0.25,0.501593308105955,0.4208138173302108
Somers,21487,5563,8172,41,5813,332,1884,15670,3361,0.25890073067436126,0.005017131669114048,0.05711336659212111,0.08768092334900172,0.2144862795149968
Tarrytown,11436,1830,4460,77,2877,436,3541,8566,2085,0.16002098635886675,0.01726457399103139,0.15154675008689608,0.3096362364463099,0.2434041559654448
Tuckahoe,6584,1080,2793,43,1721,172,1149,4784,1036,0.16403402187120292,0.01539563193698532,0.0999418942475305,0.17451397326852977,0.2165551839464883
White Plains,58137,10096,22669,1043,13734,2734,25295,42075,12798,0.1736587715224384,0.04600996956195686,0.19906800640745595,0.43509297005349434,0.30417112299465243
Yonkers,199968,33075,74897,4454,47473,13184,108881,137926,58891,0.16540146423427748,0.05946833651548126,0.27771575421818717,0.5444921187389983,0.4269753345997129
Yorktown,36538,6768,12985,315,9847,633,6687,26038,7094,0.18523181345448575,0.02425876010781671,0.06428353813344166,0.1830149433466528,0.27244796067286275
