date,municipality,total_cases,active_cases,new_cases
4/27/2020,Ardsley,65,NA,NA
4/27/2020,Bedford,180,NA,NA
4/27/2020,Briarcliff Manor,72,NA,NA
4/27/2020,Bronxville,47,NA,NA
4/27/2020,Buchanan,27,NA,NA
4/27/2020,Cortlandt,521,NA,NA
4/27/2020,Croton-on-Hudson,120,NA,NA
4/27/2020,Dobbs Ferry,183,NA,NA
4/27/2020,Eastchester,318,NA,NA
4/27/2020,Elmsford,145,NA,NA
4/27/2020,Greenburgh,815,NA,NA
4/27/2020,Harrison,266,NA,NA
4/27/2020,Hastings-on-Hudson,82,NA,NA
4/27/2020,Irvington,61,NA,NA
4/27/2020,Larchmont,50,NA,NA
4/27/2020,Lewisboro,67,NA,NA
4/27/2020,Mamaroneck Town,112,NA,NA
4/27/2020,Mamaroneck Village,260,NA,NA
4/27/2020,Mount Kisco,196,NA,NA
4/27/2020,Mount Pleasant,432,NA,NA
4/27/2020,Mount Vernon,2038,NA,NA
4/27/2020,New Castle,127,NA,NA
4/27/2020,New Rochelle,2126,NA,NA
4/27/2020,North Castle,131,NA,NA
4/27/2020,North Salem,82,NA,NA
4/27/2020,Ossining Town,115,NA,NA
4/27/2020,Ossining Village,780,NA,NA
4/27/2020,Peekskill,559,NA,NA
4/27/2020,Pelham,120,NA,NA
4/27/2020,Pelham Manor,82,NA,NA
4/27/2020,Pleasantville,87,NA,NA
4/27/2020,Port Chester,836,NA,NA
4/27/2020,Pound Ridge,18,NA,NA
4/27/2020,Rye Brook,146,NA,NA
4/27/2020,Rye City,142,NA,NA
4/27/2020,Scarsdale,313,NA,NA
4/27/2020,Sleepy Hollow,284,NA,NA
4/27/2020,Somers,155,NA,NA
4/27/2020,Tarrytown,206,NA,NA
4/27/2020,Tuckahoe,103,NA,NA
4/27/2020,White Plains,1247,NA,NA
4/27/2020,Yonkers,4922,NA,NA
4/27/2020,Yorktown,434,NA,NA
4/27/2020,Totals,19072,NA,NA
4/28/2020,Ardsley,65,NA,NA
4/28/2020,Bedford,182,NA,NA
4/28/2020,Briarcliff Manor,72,NA,NA
4/28/2020,Bronxville,49,NA,NA
4/28/2020,Buchanan,28,NA,NA
4/28/2020,Cortlandt,536,NA,NA
4/28/2020,Croton-on-Hudson,122,NA,NA
4/28/2020,Dobbs Ferry,187,NA,NA
4/28/2020,Eastchester,324,NA,NA
4/28/2020,Elmsford,148,NA,NA
4/28/2020,Greenburgh,833,NA,NA
4/28/2020,Harrison,270,NA,NA
4/28/2020,Hastings-on-Hudson,82,NA,NA
4/28/2020,Irvington,62,NA,NA
4/28/2020,Larchmont,50,NA,NA
4/28/2020,Lewisboro,67,NA,NA
4/28/2020,Mamaroneck Town,112,NA,NA
4/28/2020,Mamaroneck Village,262,NA,NA
4/28/2020,Mount Kisco,198,NA,NA
4/28/2020,Mount Pleasant,438,NA,NA
4/28/2020,Mount Vernon,2067,NA,NA
4/28/2020,New Castle,127,NA,NA
4/28/2020,New Rochelle,2149,NA,NA
4/28/2020,North Castle,127,NA,NA
4/28/2020,North Salem,83,NA,NA
4/28/2020,Ossining Town,119,NA,NA
4/28/2020,Ossining Village,792,NA,NA
4/28/2020,Peekskill,568,NA,NA
4/28/2020,Pelham,121,NA,NA
4/28/2020,Pelham Manor,82,NA,NA
4/28/2020,Pleasantville,87,NA,NA
4/28/2020,Port Chester,850,NA,NA
4/28/2020,Pound Ridge,18,NA,NA
4/28/2020,Rye Brook,146,NA,NA
4/28/2020,Rye City,143,NA,NA
4/28/2020,Scarsdale,314,NA,NA
4/28/2020,Sleepy Hollow,285,NA,NA
4/28/2020,Somers,158,NA,NA
4/28/2020,Tarrytown,210,NA,NA
4/28/2020,Tuckahoe,104,NA,NA
4/28/2020,White Plains,1270,NA,NA
4/28/2020,Yonkers,5002,NA,NA
4/28/2020,Yorktown,439,NA,NA
4/28/2020,Totals,19357,NA,NA
4/29/2020,Ardsley,65,NA,NA
4/29/2020,Bedford,185,NA,NA
4/29/2020,Briarcliff Manor,74,NA,NA
4/29/2020,Bronxville,49,NA,NA
4/29/2020,Buchanan,30,NA,NA
4/29/2020,Cortlandt,578,NA,NA
4/29/2020,Croton-on-Hudson,130,NA,NA
4/29/2020,Dobbs Ferry,202,NA,NA
4/29/2020,Eastchester,327,NA,NA
4/29/2020,Elmsford,148,NA,NA
4/29/2020,Greenburgh,843,NA,NA
4/29/2020,Harrison,278,NA,NA
4/29/2020,Hastings-on-Hudson,84,NA,NA
4/29/2020,Irvington,63,NA,NA
4/29/2020,Larchmont,50,NA,NA
4/29/2020,Lewisboro,72,NA,NA
4/29/2020,Mamaroneck Town,115,NA,NA
4/29/2020,Mamaroneck Village,269,NA,NA
4/29/2020,Mount Kisco,201,NA,NA
4/29/2020,Mount Pleasant,445,NA,NA
4/29/2020,Mount Vernon,2091,NA,NA
4/29/2020,New Castle,128,NA,NA
4/29/2020,New Rochelle,2185,NA,NA
4/29/2020,North Castle,138,NA,NA
4/29/2020,North Salem,93,NA,NA
4/29/2020,Ossining Town,122,NA,NA
4/29/2020,Ossining Village,812,NA,NA
4/29/2020,Peekskill,596,NA,NA
4/29/2020,Pelham,122,NA,NA
4/29/2020,Pelham Manor,82,NA,NA
4/29/2020,Pleasantville,87,NA,NA
4/29/2020,Port Chester,879,NA,NA
4/29/2020,Pound Ridge,18,NA,NA
4/29/2020,Rye Brook,147,NA,NA
4/29/2020,Rye City,174,NA,NA
4/29/2020,Scarsdale,314,NA,NA
4/29/2020,Sleepy Hollow,293,NA,NA
4/29/2020,Somers,164,NA,NA
4/29/2020,Tarrytown,219,NA,NA
4/29/2020,Tuckahoe,106,NA,NA
4/29/2020,White Plains,1293,NA,NA
4/29/2020,Yonkers,5096,NA,NA
4/29/2020,Yorktown,450,NA,NA
4/29/2020,Totals,19790,NA,NA
4/30/2020,Ardsley,66,NA,NA
4/30/2020,Bedford,188,NA,NA
4/30/2020,Briarcliff Manor,74,NA,NA
4/30/2020,Bronxville,50,NA,NA
4/30/2020,Buchanan,30,NA,NA
4/30/2020,Cortlandt,596,NA,NA
4/30/2020,Croton-on-Hudson,132,NA,NA
4/30/2020,Dobbs Ferry,204,NA,NA
4/30/2020,Eastchester,329,NA,NA
4/30/2020,Elmsford,147,NA,NA
4/30/2020,Greenburgh,849,NA,NA
4/30/2020,Harrison,285,NA,NA
4/30/2020,Hastings-on-Hudson,84,NA,NA
4/30/2020,Irvington,66,NA,NA
4/30/2020,Larchmont,50,NA,NA
4/30/2020,Lewisboro,73,NA,NA
4/30/2020,Mamaroneck Town,118,NA,NA
4/30/2020,Mamaroneck Village,269,NA,NA
4/30/2020,Mount Kisco,203,NA,NA
4/30/2020,Mount Pleasant,450,NA,NA
4/30/2020,Mount Vernon,2111,NA,NA
4/30/2020,New Castle,139,NA,NA
4/30/2020,New Rochelle,2124,NA,NA
4/30/2020,North Castle,139,NA,NA
4/30/2020,North Salem,94,NA,NA
4/30/2020,Ossining Town,123,NA,NA
4/30/2020,Ossining Village,821,NA,NA
4/30/2020,Peekskill,612,NA,NA
4/30/2020,Pelham,122,NA,NA
4/30/2020,Pelham Manor,83,NA,NA
4/30/2020,Pleasantville,88,NA,NA
4/30/2020,Port Chester,899,NA,NA
4/30/2020,Pound Ridge,18,NA,NA
4/30/2020,Rye Brook,147,NA,NA
4/30/2020,Rye City,148,NA,NA
4/30/2020,Scarsdale,316,NA,NA
4/30/2020,Sleepy Hollow,293,NA,NA
4/30/2020,Somers,167,NA,NA
4/30/2020,Tarrytown,220,NA,NA
4/30/2020,Tuckahoe,108,NA,NA
4/30/2020,White Plains,1324,NA,NA
4/30/2020,Yonkers,5159,NA,NA
4/30/2020,Yorktown,451,NA,NA
4/30/2020,Totals,20050,NA,NA
5/1/2020,Ardsley,67,NA,NA
5/1/2020,Bedford,196,NA,NA
5/1/2020,Briarcliff Manor,75,NA,NA
5/1/2020,Bronxville,51,NA,NA
5/1/2020,Buchanan,30,NA,NA
5/1/2020,Cortlandt,620,NA,NA
5/1/2020,Croton-on-Hudson,132,NA,NA
5/1/2020,Dobbs Ferry,212,NA,NA
5/1/2020,Eastchester,336,NA,NA
5/1/2020,Elmsford,148,NA,NA
5/1/2020,Greenburgh,863,NA,NA
5/1/2020,Harrison,288,NA,NA
5/1/2020,Hastings-on-Hudson,85,NA,NA
5/1/2020,Irvington,67,NA,NA
5/1/2020,Larchmont,50,NA,NA
5/1/2020,Lewisboro,76,NA,NA
5/1/2020,Mamaroneck Town,120,NA,NA
5/1/2020,Mamaroneck Village,274,NA,NA
5/1/2020,Mount Kisco,216,NA,NA
5/1/2020,Mount Pleasant,455,NA,NA
5/1/2020,Mount Vernon,2141,NA,NA
5/1/2020,New Castle,132,NA,NA
5/1/2020,New Rochelle,2238,NA,NA
5/1/2020,North Castle,143,NA,NA
5/1/2020,North Salem,99,NA,NA
5/1/2020,Ossining Town,123,NA,NA
5/1/2020,Ossining Village,829,NA,NA
5/1/2020,Peekskill,631,NA,NA
5/1/2020,Pelham,124,NA,NA
5/1/2020,Pelham Manor,83,NA,NA
5/1/2020,Pleasantville,89,NA,NA
5/1/2020,Port Chester,921,NA,NA
5/1/2020,Pound Ridge,23,NA,NA
5/1/2020,Rye Brook,151,NA,NA
5/1/2020,Rye City,149,NA,NA
5/1/2020,Scarsdale,318,NA,NA
5/1/2020,Sleepy Hollow,298,NA,NA
5/1/2020,Somers,171,NA,NA
5/1/2020,Tarrytown,223,NA,NA
5/1/2020,Tuckahoe,109,NA,NA
5/1/2020,White Plains,1355,NA,NA
5/1/2020,Yonkers,5252,NA,NA
5/1/2020,Yorktown,454,NA,NA
5/1/2020,Totals,20417,NA,NA
5/5/2020,Ardsley,95,15,3
5/5/2020,Bedford,262,73,4
5/5/2020,Briarcliff Manor,98,21,5
5/5/2020,Bronxville,70,12,2
5/5/2020,Buchanan,37,9,0
5/5/2020,Cortlandt,726,201,12
5/5/2020,Croton-on-Hudson,161,36,3
5/5/2020,Dobbs Ferry,266,54,2
5/5/2020,Eastchester,444,67,8
5/5/2020,Elmsford,188,37,2
5/5/2020,Greenburgh,1089,183,19
5/5/2020,Harrison,384,64,12
5/5/2020,Hastings-on-Hudson,121,12,1
5/5/2020,Irvington,84,17,0
5/5/2020,Larchmont,67,8,1
5/5/2020,Lewisboro,101,25,1
5/5/2020,Mamaroneck Town,175,32,6
5/5/2020,Mamaroneck Village,359,77,9
5/5/2020,Mount Kisco,264,71,4
5/5/2020,Mount Pleasant,577,96,7
5/5/2020,Mount Vernon,2467,377,24
5/5/2020,New Castle,216,73,8
5/5/2020,New Rochelle,2714,450,18
5/5/2020,North Castle,202,59,8
5/5/2020,North Salem,123,43,3
5/5/2020,Ossining Town,147,33,5
5/5/2020,Ossining Village,954,158,21
5/5/2020,Peekskill,764,188,13
5/5/2020,Pelham,170,19,4
5/5/2020,Pelham Manor,117,17,1
5/5/2020,Pleasantville,120,25,1
5/5/2020,Port Chester,1047,212,13
5/5/2020,Pound Ridge,37,12,0
5/5/2020,Rye Brook,176,25,3
5/5/2020,Rye City,197,29,5
5/5/2020,Scarsdale,384,42,2
5/5/2020,Sleepy Hollow,339,63,2
5/5/2020,Somers,234,76,3
5/5/2020,Tarrytown,258,49,3
5/5/2020,Tuckahoe,129,19,1
5/5/2020,White Plains,1634,312,24
5/5/2020,Yonkers,6398,1145,88
5/5/2020,Yorktown,601,121,17
5/5/2020,Totals,24996,4657,368
5/6/2020,Ardsley,81,3,0
5/6/2020,Bedford,214,28,2
5/6/2020,Briarcliff Manor,86,12,1
5/6/2020,Bronxville,63,5,0
5/6/2020,Buchanan,32,3,0
5/6/2020,Cortlandt,709,172,7
5/6/2020,Croton-on-Hudson,150,21,0
5/6/2020,Dobbs Ferry,259,36,2
5/6/2020,Eastchester,420,39,1
5/6/2020,Elmsford,184,29,0
5/6/2020,Greenburgh,1040,128,4
5/6/2020,Harrison,362,42,2
5/6/2020,Hastings-on-Hudson,114,5,0
5/6/2020,Irvington,74,10,0
5/6/2020,Larchmont,62,3,0
5/6/2020,Lewisboro,94,18,7
5/6/2020,Mamaroneck Town,155,13,0
5/6/2020,Mamaroneck Village,349,59,2
5/6/2020,Mount Kisco,229,39,3
5/6/2020,Mount Pleasant,539,51,1
5/6/2020,Mount Vernon,2454,324,23
5/6/2020,New Castle,165,21,0
5/6/2020,New Rochelle,2662,358,19
5/6/2020,North Castle,178,28,1
5/6/2020,North Salem,114,34,1
5/6/2020,Ossining Town,139,17,0
5/6/2020,Ossining Village,952,146,15
5/6/2020,Peekskill,756,170,17
5/6/2020,Pelham,162,13,2
5/6/2020,Pelham Manor,98,3,0
5/6/2020,Pleasantville,104,8,0
5/6/2020,Port Chester,1053,198,21
5/6/2020,Pound Ridge,24,1,0
5/6/2020,Rye Brook,170,17,0
5/6/2020,Rye City,176,11,0
5/6/2020,Scarsdale,356,15,1
5/6/2020,Sleepy Hollow,334,50,0
5/6/2020,Somers,207,44,5
5/6/2020,Tarrytown,253,44,3
5/6/2020,Tuckahoe,122,11,0
5/6/2020,White Plains,1573,231,12
5/6/2020,Yonkers,6220,882,36
5/6/2020,Yorktown,544,57,2
5/6/2020,Totals,24032,3399,190
5/7/2020,Ardsley,83,3,2
5/7/2020,Bedford,218,24,5
5/7/2020,Briarcliff Manor,85,11,2
5/7/2020,Bronxville,62,4,0
5/7/2020,Buchanan,33,4,1
5/7/2020,Cortlandt,698,154,13
5/7/2020,Croton-on-Hudson,150,16,4
5/7/2020,Dobbs Ferry,257,29,5
5/7/2020,Eastchester,421,37,11
5/7/2020,Elmsford,186,25,6
