date,municipality,total_cases,active_cases,new_cases
4/27/2020,Ardsley,65,,
4/27/2020,Bedford,180,,
4/27/2020,Briarcliff Manor,72,,
4/27/2020,Bronxville,47,,
4/27/2020,Buchanan,27,,
4/27/2020,Cortlandt,521,,
4/27/2020,Croton-on-Hudson,120,,
4/27/2020,Dobbs Ferry,183,,
4/27/2020,Eastchester,318,,
4/27/2020,Elmsford,145,,
4/27/2020,Greenburgh,815,,
4/27/2020,Harrison,266,,
4/27/2020,Hastings-on-Hudson,82,,
4/27/2020,Irvington,61,,
4/27/2020,Larchmont,50,,
4/27/2020,Lewisboro,67,,
4/27/2020,Mamaroneck Town,112,,
4/27/2020,Mamaroneck Village,260,,
4/27/2020,Mount Kisco,196,,
4/27/2020,Mount Pleasant,432,,
4/27/2020,Mount Vernon,2038,,
4/27/2020,New Castle,127,,
4/27/2020,New Rochelle,2126,,
4/27/2020,North Castle,131,,
4/27/2020,North Salem,82,,
4/27/2020,Ossining Town,115,,
4/27/2020,Ossining Village,780,,
4/27/2020,Peekskill,559,,
4/27/2020,Pelham,120,,
4/27/2020,Pelham Manor,82,,
4/27/2020,Pleasantville,87,,
4/27/2020,Port Chester,836,,
4/27/2020,Pound Ridge,18,,
4/27/2020,Rye Brook,146,,
4/27/2020,Rye City,142,,
4/27/2020,Scarsdale,313,,
4/27/2020,Sleepy Hollow,284,,
4/27/2020,Somers,155,,
4/27/2020,Tarrytown,206,,
4/27/2020,Tuckahoe,103,,
4/27/2020,White Plains,1247,,
4/27/2020,Yonkers,4922,,
4/27/2020,Yorktown,434,,
4/27/2020,Totals,19072,,
4/28/2020,Ardsley,65,,
4/28/2020,Bedford,182,,
4/28/2020,Briarcliff Manor,72,,
4/28/2020,Bronxville,49,,
4/28/2020,Buchanan,28,,
4/28/2020,Cortlandt,536,,
4/28/2020,Croton-on-Hudson,122,,
4/28/2020,Dobbs Ferry,187,,
4/28/2020,Eastchester,324,,
4/28/2020,Elmsford,148,,
4/28/2020,Greenburgh,833,,
4/28/2020,Harrison,270,,
4/28/2020,Hastings-on-Hudson,82,,
4/28/2020,Irvington,62,,
4/28/2020,Larchmont,50,,
4/28/2020,Lewisboro,67,,
4/28/2020,Mamaroneck Town,112,,
4/28/2020,Mamaroneck Village,262,,
4/28/2020,Mount Kisco,198,,
4/28/2020,Mount Pleasant,438,,
4/28/2020,Mount Vernon,2067,,
4/28/2020,New Castle,127,,
4/28/2020,New Rochelle,2149,,
4/28/2020,North Castle,127,,
4/28/2020,North Salem,83,,
4/28/2020,Ossining Town,119,,
4/28/2020,Ossining Village,792,,
4/28/2020,Peekskill,568,,
4/28/2020,Pelham,121,,
4/28/2020,Pelham Manor,82,,
4/28/2020,Pleasantville,87,,
4/28/2020,Port Chester,850,,
4/28/2020,Pound Ridge,18,,
4/28/2020,Rye Brook,146,,
4/28/2020,Rye City,143,,
4/28/2020,Scarsdale,314,,
4/28/2020,Sleepy Hollow,285,,
4/28/2020,Somers,158,,
4/28/2020,Tarrytown,210,,
4/28/2020,Tuckahoe,104,,
4/28/2020,White Plains,1270,,
4/28/2020,Yonkers,5002,,
4/28/2020,Yorktown,439,,
4/28/2020,Totals,19357,,
4/29/2020,Ardsley,65,,
4/29/2020,Bedford,185,,
4/29/2020,Briarcliff Manor,74,,
4/29/2020,Bronxville,49,,
4/29/2020,Buchanan,30,,
4/29/2020,Cortlandt,578,,
4/29/2020,Croton-on-Hudson,130,,
4/29/2020,Dobbs Ferry,202,,
4/29/2020,Eastchester,327,,
4/29/2020,Elmsford,148,,
4/29/2020,Greenburgh,843,,
4/29/2020,Harrison,278,,
4/29/2020,Hastings-on-Hudson,84,,
4/29/2020,Irvington,63,,
4/29/2020,Larchmont,50,,
4/29/2020,Lewisboro,72,,
4/29/2020,Mamaroneck Town,115,,
4/29/2020,Mamaroneck Village,269,,
4/29/2020,Mount Kisco,201,,
4/29/2020,Mount Pleasant,445,,
4/29/2020,Mount Vernon,2091,,
4/29/2020,New Castle,128,,
4/29/2020,New Rochelle,2185,,
4/29/2020,North Castle,138,,
4/29/2020,North Salem,93,,
4/29/2020,Ossining Town,122,,
4/29/2020,Ossining Village,812,,
4/29/2020,Peekskill,596,,
4/29/2020,Pelham,122,,
4/29/2020,Pelham Manor,82,,
4/29/2020,Pleasantville,87,,
4/29/2020,Port Chester,879,,
4/29/2020,Pound Ridge,18,,
4/29/2020,Rye Brook,147,,
4/29/2020,Rye City,174,,
4/29/2020,Scarsdale,314,,
4/29/2020,Sleepy Hollow,293,,
4/29/2020,Somers,164,,
4/29/2020,Tarrytown,219,,
4/29/2020,Tuckahoe,106,,
4/29/2020,White Plains,1293,,
4/29/2020,Yonkers,5096,,
4/29/2020,Yorktown,450,,
4/29/2020,Totals,19790,,
4/30/2020,Ardsley,66,,
4/30/2020,Bedford,188,,
4/30/2020,Briarcliff Manor,74,,
4/30/2020,Bronxville,50,,
4/30/2020,Buchanan,30,,
4/30/2020,Cortlandt,596,,
4/30/2020,Croton-on-Hudson,132,,
4/30/2020,Dobbs Ferry,204,,
4/30/2020,Eastchester,329,,
4/30/2020,Elmsford,147,,
4/30/2020,Greenburgh,849,,
4/30/2020,Harrison,285,,
4/30/2020,Hastings-on-Hudson,84,,
4/30/2020,Irvington,66,,
4/30/2020,Larchmont,50,,
4/30/2020,Lewisboro,73,,
4/30/2020,Mamaroneck Town,118,,
4/30/2020,Mamaroneck Village,269,,
4/30/2020,Mount Kisco,203,,
4/30/2020,Mount Pleasant,450,,
4/30/2020,Mount Vernon,2111,,
4/30/2020,New Castle,139,,
4/30/2020,New Rochelle,2124,,
4/30/2020,North Castle,139,,
4/30/2020,North Salem,94,,
4/30/2020,Ossining Town,123,,
4/30/2020,Ossining Village,821,,
4/30/2020,Peekskill,612,,
4/30/2020,Pelham,122,,
4/30/2020,Pelham Manor,83,,
4/30/2020,Pleasantville,88,,
4/30/2020,Port Chester,899,,
4/30/2020,Pound Ridge,18,,
4/30/2020,Rye Brook,147,,
4/30/2020,Rye City,148,,
4/30/2020,Scarsdale,316,,
4/30/2020,Sleepy Hollow,293,,
4/30/2020,Somers,167,,
4/30/2020,Tarrytown,220,,
4/30/2020,Tuckahoe,108,,
4/30/2020,White Plains,1324,,
4/30/2020,Yonkers,5159,,
4/30/2020,Yorktown,451,,
4/30/2020,Totals,20050,,
5/1/2020,Ardsley,67,,
5/1/2020,Bedford,196,,
5/1/2020,Briarcliff Manor,75,,
5/1/2020,Bronxville,51,,
5/1/2020,Buchanan,30,,
5/1/2020,Cortlandt,620,,
5/1/2020,Croton-on-Hudson,132,,
5/1/2020,Dobbs Ferry,212,,
5/1/2020,Eastchester,336,,
5/1/2020,Elmsford,148,,
5/1/2020,Greenburgh,863,,
5/1/2020,Harrison,288,,
5/1/2020,Hastings-on-Hudson,85,,
5/1/2020,Irvington,67,,
5/1/2020,Larchmont,50,,
5/1/2020,Lewisboro,76,,
5/1/2020,Mamaroneck Town,120,,
5/1/2020,Mamaroneck Village,274,,
5/1/2020,Mount Kisco,216,,
5/1/2020,Mount Pleasant,455,,
5/1/2020,Mount Vernon,2141,,
5/1/2020,New Castle,132,,
5/1/2020,New Rochelle,2238,,
5/1/2020,North Castle,143,,
5/1/2020,North Salem,99,,
5/1/2020,Ossining Town,123,,
5/1/2020,Ossining Village,829,,
5/1/2020,Peekskill,631,,
5/1/2020,Pelham,124,,
5/1/2020,Pelham Manor,83,,
5/1/2020,Pleasantville,89,,
5/1/2020,Port Chester,921,,
5/1/2020,Pound Ridge,23,,
5/1/2020,Rye Brook,151,,
5/1/2020,Rye City,149,,
5/1/2020,Scarsdale,318,,
5/1/2020,Sleepy Hollow,298,,
5/1/2020,Somers,171,,
5/1/2020,Tarrytown,223,,
5/1/2020,Tuckahoe,109,,
5/1/2020,White Plains,1355,,
5/1/2020,Yonkers,5252,,
5/1/2020,Yorktown,454,,
5/1/2020,Totals,20417,,
5/5/2020,Ardsley,95,15,3
5/5/2020,Bedford,262,73,4
5/5/2020,Briarcliff Manor,98,21,5
5/5/2020,Bronxville,70,12,2
5/5/2020,Buchanan,37,9,0
5/5/2020,Cortlandt,726,201,12
5/5/2020,Croton-on-Hudson,161,36,3
5/5/2020,Dobbs Ferry,266,54,2
5/5/2020,Eastchester,444,67,8
5/5/2020,Elmsford,188,37,2
5/5/2020,Greenburgh,1089,183,19
5/5/2020,Harrison,384,64,12
5/5/2020,Hastings-on-Hudson,121,12,1
5/5/2020,Irvington,84,17,0
5/5/2020,Larchmont,67,8,1
5/5/2020,Lewisboro,101,25,1
5/5/2020,Mamaroneck Town,175,32,6
5/5/2020,Mamaroneck Village,359,77,9
5/5/2020,Mount Kisco,264,71,4
5/5/2020,Mount Pleasant,577,96,7
5/5/2020,Mount Vernon,2467,377,24
5/5/2020,New Castle,216,73,8
5/5/2020,New Rochelle,2714,450,18
5/5/2020,North Castle,202,59,8
5/5/2020,North Salem,123,43,3
5/5/2020,Ossining Town,147,33,5
5/5/2020,Ossining Village,954,158,21
5/5/2020,Peekskill,764,188,13
5/5/2020,Pelham,170,19,4
5/5/2020,Pelham Manor,117,17,1
5/5/2020,Pleasantville,120,25,1
5/5/2020,Port Chester,1047,212,13
5/5/2020,Pound Ridge,37,12,0
5/5/2020,Rye Brook,176,25,3
5/5/2020,Rye City,197,29,5
5/5/2020,Scarsdale,384,42,2
5/5/2020,Sleepy Hollow,339,63,2
5/5/2020,Somers,234,76,3
5/5/2020,Tarrytown,258,49,3
5/5/2020,Tuckahoe,129,19,1
5/5/2020,White Plains,1634,312,24
