date,municipality,total_cases,active_cases,new_cases
2020-04-27,Bronwville a,NA,NA,NA
2020-04-27,Buchanan,NA,NA,7
2020-04-27,Cortlandt sa,NA,NA,NA
2020-04-27,Croton-on-Hudson,NA,NA,120
2020-04-27,Dobbs Ferry,NA,NA,183
2020-04-27,Eastchester,NA,NA,318
2020-04-27,Elmsford,NA,NA,1
2020-04-27,Greenburgh as,NA,NA,NA
2020-04-27,Harrison,NA,NA,266
2020-04-27,Hastings-on-Hudson,NA,NA,82
2020-04-27,lnvington a,NA,NA,NA
2020-04-27,Larchmont,NA,NA,50
2020-04-27,Lewisboro o,NA,NA,NA
2020-04-27,Mamaroneck Town,NA,NA,112
2020-04-27,Mamaroneck Village,NA,NA,260
2020-04-27,Mount Kisco,NA,NA,196
2020-04-27,Mount Pleasant,NA,NA,432
2020-04-27,Mount Vernon,NA,NA,2038
2020-04-27,New castle uw,NA,NA,NA
2020-04-27,NewRochelle,NA,NA,2126
2020-04-27,North castle a,NA,NA,1
2020-04-27,North Salem,NA,NA,2
2020-04-27,OssiningTown,NA,NA,115
2020-04-27,Ossining Vilage,NA,NA,780
2020-04-27,Peekskill,NA,NA,559
2020-04-27,Pelham x,NA,NA,0
2020-04-27,Pelham Manor,NA,NA,82
2020-04-27,Pleasantville,NA,NA,7
2020-04-27,Port chester,NA,NA,36
2020-04-27,Pound Ridge,NA,NA,8
2020-04-27,Rye Brook,NA,NA,16
2020-04-27,Rye city,NA,NA,1
2020-04-27,Scarsdale,NA,NA,33
2020-04-27,SleepyHollow,NA,NA,288
2020-04-27,Somers,NA,NA,155
2020-04-27,Tarrytown,NA,NA,206
2020-04-27,Tuckahoe,NA,NA,103
2020-04-27,White Plains,NA,NA,1287
2020-04-27,Yonkers,NA,NA,4922
2020-04-27,Yorktown ry,NA,NA,NA
2020-04-27,Confirmed,NA,NA,7
2020-04-27,Unknown,9223,NA,NA
2020-04-27,Released,NA,NA,3
2020-04-28,Bronxville,NA,NA,49
2020-04-28,Buchanan,NA,NA,28
2020-04-28,Cortlandt,NA,NA,536
2020-04-28,Croton-on-Hudson,NA,NA,122
2020-04-28,Dobbs Ferry,NA,NA,187
2020-04-28,Eastchester,NA,NA,324
2020-04-28,Elmsford,NA,NA,148
2020-04-28,Greenburgh,NA,NA,833
2020-04-28,Harrison,NA,NA,270
2020-04-28,Hastings-on-Hudson,NA,NA,82
2020-04-28,Irvington,NA,NA,62
2020-04-28,Larchmont,NA,NA,50
2020-04-28,Lewisboro,NA,NA,67
2020-04-28,Mamaroneck Town,NA,NA,112
2020-04-28,Mamaroneck Village,NA,NA,262
2020-04-28,Mount Kisco,NA,NA,198
2020-04-28,Mount Pleasant,NA,NA,438
2020-04-28,Mount Vernon,NA,NA,2067
2020-04-28,New Castle,NA,NA,127
2020-04-28,New Rochelle,NA,NA,2149
2020-04-28,North Castle,NA,NA,136
2020-04-28,North Salem,NA,NA,83
2020-04-28,Ossining Town,NA,NA,119
2020-04-28,Ossining Village,NA,NA,792
2020-04-28,Peekskill,NA,NA,568
2020-04-28,Pelham,NA,NA,121
2020-04-28,Pelham Manor,NA,NA,82
2020-04-28,Pleasantville,NA,NA,87
2020-04-28,Port Chester,NA,NA,850
2020-04-28,Pound Ridge,NA,NA,18
2020-04-28,Rye Brook,NA,NA,146
2020-04-28,Rye City,NA,NA,143
2020-04-28,Scarsdale,NA,NA,314
2020-04-28,Sleepy Hollow,NA,NA,285
2020-04-28,Somers,NA,NA,158
2020-04-28,Tarrytown,NA,NA,210
2020-04-28,Tuckahoe,NA,NA,104
2020-04-28,White Plains,NA,NA,1270
2020-04-28,Yonkers,NA,NA,5002
2020-04-28,Yorktown,NA,NA,439
2020-04-28,Confirmed,NA,NA,19357
2020-04-28,Unknown,9261,NA,NA
2020-04-28,Released,NA,NA,25
NA,Briarcliff Manor,NA,NA,74
NA,Bronxville,NA,NA,49
NA,Buchanan,NA,NA,30
NA,Cortlandt,NA,NA,578
NA,Croton-on-Hudson,NA,NA,130
NA,Dobbs Ferry,NA,NA,202
NA,Eastchester,NA,NA,327
