date,state,state_long,distributed,administered
2021-01-04,AK,Alaska,74925,18937
2021-01-04,AL,Alabama,159325,39564
2021-01-04,AR,Arkansas,139400,40899
2021-01-04,AS,American Samoa,8250,1022
2021-01-04,AZ,Arizona,411025,66059
2021-01-04,BP2,Bureau of Prisons,12800,7366
2021-01-04,CA,California,1866075,451702
2021-01-04,CO,Colorado,262275,112510
2021-01-04,CT,Connecticut,149900,75946
2021-01-04,DC,District of Columbia,35475,15583
2021-01-04,DD2,Dept of Defense,248200,67766
2021-01-04,DE,Delaware,50725,13913
2021-01-04,FL,Florida,1137000,264512
2021-01-04,FM,Federated States of Micronesia,1600,10
2021-01-04,GA,Georgia,483650,75157
2021-01-04,GU,Guam,19300,3791
2021-01-04,HI,Hawaii,76650,19313
2021-01-04,IA,Iowa,116275,55495
2021-01-04,ID,Idaho,71825,19126
2021-01-04,IH2,Indian Health Svc,159700,35753
2021-01-04,IL,Illinois,427150,176577
2021-01-04,IN,Indiana,334375,91168
2021-01-04,KS,Kansas,131750,20110
2021-01-04,KY,Kentucky,156600,60663
2021-01-04,LA,Louisiana,218425,49589
2021-01-04,LTC,Long Term Care,2533925,365294
2021-01-04,MA,Massachusetts,287000,110279
2021-01-04,MD,Maryland,274950,65718
2021-01-04,ME,Maine,66250,31663
2021-01-04,MH,Marshall Islands,1200,0
2021-01-04,MI,Michigan,378925,99040
2021-01-04,MN,Minnesota,229675,83884
2021-01-04,MO,Missouri,235375,91817
2021-01-04,MP,Northern Mariana Islands,6250,3027
2021-01-04,MS,Mississippi,84250,21814
2021-01-04,MT,Montana,52450,23518
2021-01-04,NC,North Carolina,395100,101351
2021-01-04,ND,North Dakota,37900,22240
2021-01-04,NE,Nebraska,90675,35644
2021-01-04,NH,New Hampshire,53675,21181
2021-01-04,NJ,New Jersey,387000,99557
2021-01-04,NM,New Mexico,98625,41557
2021-01-04,NV,Nevada,141550,34454
2021-01-04,NY,New York State,895925,274713
2021-01-04,OH,Ohio,359700,159869
2021-01-04,OK,Oklahoma,203550,60010
2021-01-04,OR,Oregon,202200,48733
2021-01-04,PA,Pennsylvania,592125,163207
2021-01-04,PR,Puerto Rico,163300,44633
2021-01-04,RI,Rhode Island,55600,22544
2021-01-04,RP,Republic of Palau,2800,60
2021-01-04,SC,South Carolina,141375,54902
2021-01-04,SD,South Dakota,43325,26913
2021-01-04,TN,Tennessee,300250,152516
2021-01-04,TX,Texas,1004300,374238
2021-01-04,US,United States,15418500,4563260
2021-01-04,UT,Utah,144275,48909
2021-01-04,VA,Virginia,468950,108861
2021-01-04,VA2,Veterans Health,477125,117975
2021-01-04,VI,Virgin Islands,4925,199
2021-01-04,VT,Vermont,33925,15955
2021-01-04,WA,Washington,389250,92700
2021-01-04,WI,Wisconsin,208075,66974
2021-01-04,WV,West Virginia,124325,52518
2021-01-04,WY,Wyoming,29675,7556
