date,region,doses_admin,doses_recieved,first_dose_admin_est,second_dose_admin_est,first_dose_rcv_est,second_dose_rcv_est
2021-01-20,Western New York,76598,86100,69487.24313381442,7110.756866185572,76225.06826870563,9874.931731294375
2021-01-20,Southern Tier,29206,29400,26494.74428792115,2711.255712078851,26028.07209175314,3371.9279082468597
2021-01-20,North Country,24926,25925,22612.0658810081,2313.9341189919005,22951.624795193882,2973.375204806117
2021-01-20,New York City,448090,546775,406492.84283964214,41597.157160357885,484064.5958492627,62710.4041507373
2021-01-20,Mohawk Valley,22065,29850,20016.658656200103,2048.341343799899,26426.460950300385,3423.5390496996174
2021-01-20,Mid-Hudson,89053,111925,80786.01873150183,8266.981268498183,99088.16220644457,12836.837793555434
2021-01-20,Long Island,130179,144750,118094.20381624623,12084.796183753775,128148.41616602949,16601.583833970508
2021-01-20,Finger Lakes,67559,77150,61287.35291884082,6271.647081159183,68301.55652648826,8848.443473511741
2021-01-20,Central New York,52116,59725,47277.95977913096,4838.0402208690475,52875.0546149645,6849.945385035499
2021-01-20,Capital Region,60982,78550,55320.9099556943,5661.090044305707,69540.98853085746,9009.011469142544
2021-01-22,Western New York,99742,111925,88997.68439582395,10744.315604176056,99088.16220644457,12836.837793555434
2021-01-22,Southern Tier,146459,144750,130682.27886876119,15776.721131238806,128148.41616602949,16601.583833970508
2021-01-22,North Country,75063,77150,66977.1328407665,8085.867159233496,68301.55652648826,8848.443473511741
2021-01-22,New York City,64016,59725,57120.12757196633,6895.872428033671,52875.0546149645,6849.945385035499
2021-01-22,Mohawk Valley,68479,78550,61102.36840790868,7376.6315920913175,69540.98853085746,9009.011469142544
2021-01-22,Mid-Hudson,1190150,NA,1061945.7609000208,128204.23909997928,NA,NA
2021-01-22,Long Island,86100,NA,76825.21532033087,9274.784679669132,NA,NA
2021-01-22,Finger Lakes,29400,NA,26233.00035328371,3166.9996467162887,NA,NA
2021-01-22,Central New York,25925,NA,23132.331093839464,2792.668906160537,NA,NA
2021-01-22,Capital Region,546775,NA,487875.8084410443,58899.19155895574,NA,NA
2021-01-23,Western New York,36859,40850,32770.745209597524,4088.254790402476,36164.85527034407,4685.144729655925
2021-01-23,Southern Tier,28425,38435,25272.211198969304,3152.7888010306947,34026.83506280721,4408.164937192791
2021-01-23,North Country,546432,694400,485823.91943272453,60608.08056727545,614758.2741671219,79641.7258328782
2021-01-23,New York City,26106,41460,23210.42552542806,2895.5744745719376,36704.89350081923,4755.106499180775
2021-01-23,Mohawk Valley,105530,145700,93825.02894730803,11704.97105269197,128989.45931185145,16710.54068814855
2021-01-23,Mid-Hudson,153862,187135,136796.2342830542,17065.765716945814,165672.22009830695,21462.779901693062
2021-01-23,Long Island,79939,97700,71072.48165468451,8866.518345315488,86494.64773347898,11205.352266521026
2021-01-23,Finger Lakes,70608,75120,62776.43934342391,7831.560656576088,66504.38012015293,8615.619879847078
2021-01-23,Central New York,78249,100470,69569.92978392786,8679.070216072148,88946.9524849809,11523.047515019114
2021-01-23,Capital Region,1529400,NA,1359764.9888374198,169635.01116258028,NA,NA
2021-01-24,Western New York,37987,52300,33847.21256792256,4139.787432077439,40312.44605727737,11987.553942722636
2021-01-24,Southern Tier,31247,50945,27841.73141100577,3405.268588994228,39268.0222636328,11676.977736367202
2021-01-24,North Country,568429,842025,506482.1437010465,61946.8562989535,649026.5275598274,192998.4724401726
2021-01-24,New York City,27161,53070,24201.019837242864,2959.980162757136,40905.95625735583,12164.043742644173
2021-01-24,Mohawk Valley,112427,179475,100174.81157695605,12252.188423043943,138337.97812867793,41137.02187132208
2021-01-24,Mid-Hudson,161645,229520,144029.0803575392,17615.91964246078,176912.2871714398,52607.712828560216
2021-01-24,Long Island,84984,118250,75722.5238337413,9261.476166258695,91146.20929776384,27103.79070223617
2021-01-24,Finger Lakes,77781,90520,69304.49998014017,8476.500019859828,69772.13417026286,20747.86582973715
2021-01-24,Central New York,82738,122385,73721.29079539781,9016.709204602184,94333.43615143195,28051.563848568065
2021-01-24,Capital Region,1868650,NA,1665006.2854410321,203643.7145589677,NA,NA
2021-01-27,Western New York,40129,52300,34913.259523774635,5215.740476225363,36497.907580338746,15802.092419661252
2021-01-27,Southern Tier,36269,50945,31554.96049410108,4714.039505898918,35552.31169560913,15392.68830439087
2021-01-27,North Country,621958,842025,541119.4165538095,80838.58344619039,587612.8227597463,254412.17724025366
2021-01-27,New York City,31835,53070,27697.26673825327,4137.733261746727,37035.25727129211,16034.74272870789
2021-01-27,Mohawk Valley,126191,179475,109789.40747500923,16401.592524990774,125247.83868033072,54227.16131966928
2021-01-27,Mid-Hudson,179303,229520,155998.21008226878,23304.78991773122,160172.07930859175,69347.92069140823
2021-01-27,Long Island,96437,118250,83902.66412555146,12534.335874448536,82521.55968212346,35728.44031787654
2021-01-27,Finger Lakes,93060,95265,80964.58748741478,12095.412512585219,66481.32247879486,28783.677521205147
2021-01-27,Central New York,95611,117640,83184.02293422754,12426.977065772462,82095.86706980976,35544.132930190244
2021-01-27,Capital Region,1868650,NA,1625773.4408806965,242876.55911930336,NA,NA
